Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-7.409,0,10.674,,
2,-8.583,0,7.813,,
3,-1.690,0,5.669,,
4,-52.906,0,6.401,,
5,-8.791,0,7.889,,
6,-4.139,0,6.366,,
7,-3.374,0,4.804,,
8,-3.788,0,7.684,,
9,-8.556,0,6.167,,
10,-6.261,0,2.966,,
11,-6.617,0,7.762,-2.372446,57.433884
12,-0.056,0,3.951,-3.595593,34.579712
13,-9.036,0,6.007,-3.982441,35.082848
14,-2.821,0,5.090,-3.842917,83.215027
15,-6.907,0,7.158,-4.100014,20.338024
16,-7.592,0,6.267,-3.852300,83.434052
17,-9.060,0,6.045,-4.686121,77.553101
18,-9.499,0,6.092,-3.632282,15.097977
19,-6.665,0,9.395,-4.272839,13.674477
20,-52.396,0,10.125,-4.209743,11.290968
21,-5.642,0,6.621,-4.520586,71.560959
22,-3.323,0,1.505,-5.461388,132.546799
23,-0.501,0,2.560,-4.353129,8.804027
24,-3.243,0,6.149,-5.628537,13.812158
25,-8.203,0,7.960,-5.557046,71.159683
26,0.956,0,1.033,-5.935565,13.629566
27,-1.199,0,2.272,-5.338434,187.680176
28,-2.879,0,6.805,-5.547916,79.501472
29,-3.380,0,6.923,-5.719486,117.334412
30,-9.956,0,9.265,-5.775980,5.498345
31,-5.386,0,4.392,-5.804761,9.604594
32,11.523,1,0.691,-6.434072,5.963519
33,-54.148,0,10.794,-6.051882,8.032169
34,-3.109,0,5.143,-6.461756,6.960645
35,-5.595,0,7.629,-6.179617,5.056283
36,-6.284,0,7.720,-5.928503,66.798698
37,-4.941,0,6.728,-6.449605,69.027214
38,-8.854,0,8.894,-5.797689,7.032188
39,11.732,1,0.710,-6.188742,9.185104
40,-4.846,0,5.402,-5.926460,6.644284
41,0.783,0,1.782,-6.754321,6.945648
42,-8.516,0,8.571,-6.601933,5.943405
43,-1.983,0,5.848,-6.378463,62.514256
44,-1.795,0,3.768,-6.019367,62.952248
45,-4.160,0,7.229,-5.691069,117.518814
46,-3.791,0,7.034,-6.400844,123.966316
47,-8.004,0,8.261,-6.329984,64.407097
48,-3.606,0,3.553,-6.269625,5.380156
49,-9.080,0,6.363,-6.448538,58.529732
50,-5.581,0,4.920,-6.348557,5.552159
51,-3.845,0,2.545,-6.281957,60.318760
52,-3.172,0,5.150,-5.651885,63.453434
53,-7.094,0,7.809,-6.482138,7.417816
54,-7.488,0,8.676,-5.581480,5.680780
55,-8.176,0,4.259,-6.204715,4.598699
56,-7.878,0,8.647,-6.081380,63.655830
57,-9.434,0,8.170,-6.583908,7.124027
58,-4.563,0,6.577,-6.318809,6.293174
59,-8.079,0,9.224,-5.882615,7.507803
60,-2.589,0,7.520,-6.748303,6.009507
61,-2.577,0,3.504,-6.350164,6.235601
62,-4.594,0,7.808,-6.340295,5.435052
63,-1.351,0,5.378,-6.679340,120.712296
64,11.317,1,0.884,-6.747403,6.982213
65,-7.687,0,7.946,-5.839436,187.147308
66,-9.190,0,7.045,-6.542189,115.983368
67,-9.942,0,7.116,-6.594621,5.010066
68,11.581,1,0.547,-6.235529,62.308434
69,10.345,1,0.481,-6.299320,66.875771
70,-1.433,0,4.575,-5.759157,6.010649
71,-1.560,0,5.295,-6.426432,120.222809
72,-9.311,0,7.324,-6.537909,124.490570
73,-7.934,0,8.904,-6.517607,6.610260
74,-7.016,0,7.804,-5.854679,7.371087
75,-7.050,0,8.652,-5.783107,113.945343
76,-8.436,0,7.610,-6.089689,7.267443
77,-3.163,0,4.045,-5.689271,119.174683
78,11.607,1,0.708,-6.936684,6.589077
79,-3.682,0,1.391,-5.876668,7.814690
80,-0.929,0,4.652,-6.774521,66.288177
81,-7.094,0,6.509,-5.459957,60.666100
82,-4.537,0,2.471,-5.914980,6.284645
83,11.587,1,0.699,-6.166155,62.502090
84,-1.951,0,2.801,-6.588096,7.933224
85,-9.681,0,8.211,-6.341641,6.807141
86,-3.812,0,2.685,-6.349915,7.242946
87,-7.848,0,6.805,-6.563753,123.880859
88,-5.261,0,6.033,-6.371644,66.488754
89,-0.791,0,4.459,-7.038845,63.972912
90,-6.106,0,4.615,-6.515351,62.853767
91,-7.640,0,8.196,-6.393791,176.786957
92,-8.455,0,8.806,-6.252858,111.491631
