Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-47.000,3,0,,
2,-44.000,6,0,,
3,-43.000,7,0,,
4,-40.000,10,0,,
5,-43.000,7,0,,
6,-47.000,3,0,-2.607875,0.580149
7,-46.000,4,0,-2.657045,0.512677
8,-48.000,2,0,-2.713283,0.362792
9,-44.000,6,0,-2.663982,0.345210
10,-46.000,4,0,-2.622145,0.413916
11,-44.000,6,0,-2.638473,0.317706
12,-49.000,1,0,-2.566624,0.343416
13,-43.000,7,0,-2.537977,0.357803
14,-45.000,5,0,-2.420694,0.215568
15,-46.000,4,0,-2.319954,0.308594
16,-44.000,6,0,-2.340198,0.371805
17,-42.000,8,0,-2.101539,0.370968
18,-47.000,3,0,-2.028800,0.316010
19,-46.000,4,0,-2.058512,0.306561
20,-46.000,4,0,-2.028224,0.375199
21,-46.000,4,0,-2.116319,0.313605
22,-45.000,5,0,-2.146564,0.321205
23,-43.000,7,0,-2.131800,0.337499
24,-42.000,8,0,-2.115036,0.319107
25,-46.000,4,0,-2.193327,0.250485
26,-46.000,4,0,-2.190620,0.315883
27,-42.000,8,0,-2.249531,0.314805
28,-45.000,5,0,-2.290455,0.408846
29,-40.000,10,0,-2.282434,0.226772
30,-45.000,5,0,-2.307476,0.232912
31,-45.000,5,0,-2.359396,0.422822
32,-44.000,6,0,-2.344021,0.295681
33,-43.000,7,0,-2.334188,0.379079
34,-44.000,6,0,-2.520440,0.198135
35,-46.000,4,0,-2.581468,0.211336
36,-48.000,2,0,-2.569800,0.282755
37,-42.000,8,0,-2.554904,0.389978
38,-45.000,5,0,-2.590419,0.291645
39,-42.000,8,0,-2.617780,0.363573
40,-41.000,9,0,-2.605394,0.367620
41,-46.000,4,0,-2.634766,0.340142
42,-44.000,6,0,-2.675325,0.198674
43,-45.000,5,0,-2.657182,0.338744
44,-43.000,7,0,-2.742870,0.308703
45,-45.000,5,0,-2.772861,0.306043
46,-42.000,8,0,-2.831529,0.571532
47,-46.000,4,0,-2.808642,0.283938
48,-42.000,8,0,-2.910403,0.405446
49,-43.000,7,0,-2.932493,0.381291
50,-42.000,8,0,-2.990960,0.467741
