Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-10.000,0,3.856,,
2,-10.000,0,4.353,,
3,-10.000,0,4.322,,
4,-10.000,0,1.704,,
5,-10.000,0,3.317,,
6,-10.000,0,2.963,,
7,-10.000,0,5.730,,
8,-10.000,0,5.005,,
9,-10.000,0,2.359,,
10,-10.000,0,2.670,,
11,-10.000,0,6.526,,
12,-10.000,0,2.858,,
13,-10.000,0,5.236,,
14,-10.000,0,3.879,,
15,-10.000,0,2.837,,
16,-10.000,0,5.445,,
17,-10.000,0,3.763,,
18,-10.000,0,2.941,,
19,-10.000,0,4.248,,
20,-10.000,0,6.682,-2.946364,0.725867
21,-10.000,0,3.837,-2.969762,0.892376
22,-10.000,0,1.126,-2.986836,0.797403
23,-10.000,0,1.958,-2.907686,0.794619
24,-10.000,0,3.472,-3.101179,0.798145
25,-10.000,0,4.586,-3.285338,0.705070
26,-10.000,0,1.959,-3.085080,0.684844
27,-10.000,0,3.831,-3.138663,0.807614
28,-10.000,0,1.967,-3.135684,0.800234
29,-10.000,0,2.880,-3.289909,0.851707
30,-10.000,0,7.029,-3.192442,0.870708
31,-10.000,0,1.503,-3.105555,0.854003
32,-10.000,0,4.358,-3.174953,0.947355
33,-10.000,0,3.083,-3.357811,0.928304
34,-10.000,0,6.556,-2.923502,1.081297
35,-10.000,0,2.985,-3.031730,0.862344
36,-10.000,0,1.337,-2.903352,0.771749
37,-10.000,0,4.483,-3.123291,0.803042
38,-10.000,0,5.610,-2.753718,0.665736
39,-10.000,0,3.774,-2.876876,0.687203
40,-10.000,0,4.004,-2.649263,0.697884
41,-10.000,0,1.024,-2.662188,0.663366
42,-10.000,0,4.892,-2.637791,0.598694
43,-10.000,0,3.742,-2.592468,0.507206
44,-10.000,0,1.591,-2.456861,0.514344
45,-10.000,0,7.903,-2.474359,0.485595
46,-10.000,0,3.435,-2.341930,0.411027
47,-10.000,0,3.484,-2.315308,0.373649
48,-10.000,0,4.097,-2.275505,0.330524
49,-10.000,0,5.096,-2.017511,0.329893
50,-10.000,0,2.940,-2.050189,0.315583
51,-10.000,0,6.081,-1.933154,0.272586
52,-10.000,0,2.648,-1.834714,0.263102
53,-10.000,0,2.151,-1.745438,0.215430
54,-10.000,0,3.993,-1.624995,0.203870
55,-10.000,0,2.464,-1.547041,0.172967
56,-10.000,0,6.544,-1.435826,0.156407
57,-10.000,0,1.881,-1.381467,0.171578
58,-10.000,0,1.475,-1.302709,0.125923
59,-10.000,0,3.818,-1.196627,0.106637
60,-10.000,0,4.197,-1.078417,0.085059
61,-10.000,0,3.799,-0.992752,0.094109
62,-10.000,0,3.123,-0.916513,0.078647
63,-10.000,0,4.936,-0.823656,0.079571
64,-10.000,0,2.534,-0.726427,0.036823
65,-10.000,0,4.812,-0.660697,0.062714
66,-10.000,0,2.566,-0.565014,0.064582
67,-10.000,0,5.147,-0.526383,0.066137
68,-5.000,1,0.715,-0.461443,0.056457
69,-10.000,0,5.077,-0.359704,0.061804
70,-10.000,0,1.775,-0.251538,0.076249
71,-10.000,0,1.673,-0.252631,0.093712
72,-10.000,0,3.704,-0.139691,0.086521
73,-10.000,0,3.394,-0.049925,0.078964
74,-10.000,0,4.439,-0.006746,0.093939
75,-10.000,0,2.887,0.121479,0.094076
76,-10.000,0,2.213,0.161098,0.131650
77,-10.000,0,2.356,0.249613,0.121668
78,-10.000,0,1.934,0.310373,0.135573
79,-10.000,0,3.865,0.378082,0.134610
80,-10.000,0,2.502,0.503317,0.192520
81,-10.000,0,2.080,0.611863,0.186217
82,-10.000,0,1.792,0.588305,0.234936
83,-10.000,0,2.152,0.728937,0.195598
84,-10.000,0,1.532,0.821134,0.226002
85,-10.000,0,2.472,0.849873,0.261926
86,-9.000,1,0.408,0.921246,0.232766
87,-10.000,0,1.707,0.919570,0.257954
88,-10.000,0,2.285,1.013536,0.322967
