Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-45.000,5,0,,
2,-45.000,5,0,,
3,-44.000,6,0,,
4,-45.000,5,0,,
5,-45.000,5,0,,
6,-45.000,5,0,,
7,-47.000,3,0,,
8,-44.000,6,0,,
9,-42.000,8,0,,
10,-48.000,2,0,,
11,-45.000,5,0,,
12,-44.000,6,0,,
13,-44.000,6,0,,
14,-43.000,7,0,,
15,-45.000,5,0,,
16,-45.000,5,0,,
17,-46.000,4,0,,
18,-46.000,4,0,,
19,-45.000,5,0,,
20,-44.000,6,0,-2.846566,0.588884
21,-44.000,6,0,-2.694648,0.399118
22,-42.000,8,0,-2.873523,0.482136
23,-43.000,7,0,-2.971258,0.460256
24,-41.000,9,0,-3.041785,0.252498
25,-45.000,5,0,-3.107512,0.455920
26,-45.000,5,0,-3.157524,0.474628
27,-41.000,9,0,-3.216734,0.336929
28,-45.000,5,0,-3.303270,0.449396
29,-43.000,7,0,-3.339986,0.515745
30,-43.000,7,0,-3.328592,0.373951
31,-48.000,2,0,-3.349208,0.566669
32,-48.000,2,0,-3.425162,0.393128
33,-42.000,8,0,-3.417338,0.496771
34,-46.000,4,0,-3.369359,0.535381
35,-49.000,1,0,-3.447714,0.332092
36,-44.000,6,0,-3.417733,0.450221
37,-45.000,5,0,-3.564354,0.553699
38,-41.000,9,0,-3.486527,0.539321
39,-42.000,8,0,-3.472749,0.520493
40,-39.000,11,0,-3.553284,0.482272
41,-43.000,7,0,-3.530048,0.602299
42,-43.000,7,0,-3.463856,0.540537
43,-44.000,6,0,-3.709119,0.357942
44,-40.000,10,0,-3.654394,0.267879
45,-45.000,5,0,-3.585390,0.308402
46,-45.000,5,0,-3.609866,0.553371
47,-43.000,7,0,-3.617760,0.431469
48,-42.000,8,0,-3.761567,0.495019
49,-43.000,7,0,-3.646051,0.409450
50,-44.000,6,0,-3.686501,0.579461
51,-42.000,8,0,-3.788707,0.320476
52,-41.000,9,0,-3.789627,0.526240
53,-42.000,8,0,-3.745921,0.500660
54,-43.000,7,0,-3.819229,0.701607
55,-45.000,5,0,-3.921360,0.441396
56,-43.000,7,0,-3.929585,0.422944
57,-46.000,4,0,-3.903359,0.452803
58,-43.000,7,0,-4.017190,0.317106
59,-45.000,5,0,-3.922593,0.527319
60,-43.000,7,0,-3.902833,0.589308
61,-46.000,4,0,-4.116303,0.278601
62,-45.000,5,0,-4.060241,0.374215
63,-43.000,7,0,-4.043809,0.569833
64,-42.000,8,0,-3.989700,0.715346
65,-49.000,1,0,-4.067743,0.467861
66,-45.000,5,0,-4.092959,0.639960
67,-46.000,4,0,-4.040000,0.638104
68,-45.000,5,0,-4.155039,0.406429
69,-42.000,8,0,-4.148340,0.656716
70,-47.000,3,0,-4.240557,0.447937
71,-44.000,6,0,-4.120824,0.367446
72,-41.000,9,0,-4.240595,0.738478
73,-48.000,2,0,-4.286324,0.590309
74,-46.000,4,0,-4.343215,0.433089
75,-43.000,7,0,-4.286373,0.952916
76,-43.000,7,0,-4.428313,0.782294
77,-46.000,4,0,-4.274774,0.315584
78,-47.000,3,0,-4.441563,0.696912
79,-45.000,5,0,-4.281592,0.618817
80,-47.000,3,0,-4.319397,0.649223
81,-43.000,7,0,-4.469595,0.551517
82,-42.000,8,0,-4.393518,0.501141
83,-44.000,6,0,-4.431691,0.706547
84,-46.000,4,0,-4.408758,0.643677
85,-42.000,8,0,-4.578641,0.427918
86,-43.000,7,0,-4.583684,0.568256
87,-45.000,5,0,-4.617147,0.306595
88,-39.000,11,0,-4.464844,0.485667
89,-42.000,8,0,-4.636245,0.619659
90,-42.000,8,0,-4.585537,0.774411
91,-42.000,8,0,-4.712571,0.323879
92,-44.000,6,0,-4.611857,0.706235
93,-44.000,6,0,-4.610590,0.386757
94,-42.000,8,0,-4.624575,0.662366
95,-40.000,10,0,-4.642981,0.610941
96,-45.000,5,0,-4.634490,0.607143
97,-41.000,9,0,-4.895610,0.498315
98,-47.000,3,0,-4.866086,0.347068
99,-44.000,6,0,-4.866890,0.433782
100,-45.000,5,0,-4.776492,0.662452
