Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-50.000,0,0,,
2,-50.000,0,0,,
3,-50.000,0,0,,
4,-50.000,0,0,,
5,-50.000,0,0,,
6,-50.000,0,0,,
7,-50.000,0,0,,
8,-50.000,0,0,,
9,-50.000,0,0,,
10,-50.000,0,0,,
11,-50.000,0,0,,
12,-50.000,0,0,,
13,-50.000,0,0,,
14,-50.000,0,0,,
15,-50.000,0,0,,
16,-50.000,0,0,,
17,-50.000,0,0,,
18,-50.000,0,0,,
19,-50.000,0,0,,
20,-50.000,0,0,-3.057804,0.360387
21,-50.000,0,0,-3.176138,0.326294
22,-50.000,0,0,-3.353020,0.441699
23,-49.000,1,0,-3.411736,0.373873
24,-50.000,0,0,-3.560975,0.247540
25,-50.000,0,0,-3.620391,0.490849
26,-50.000,0,0,-3.699528,0.491361
27,-50.000,0,0,-3.718258,0.313651
28,-50.000,0,0,-3.784108,0.405011
29,-49.000,1,0,-3.857277,0.603897
30,-49.000,1,0,-3.929338,0.414991
31,-50.000,0,0,-4.026442,0.580643
32,-49.000,1,0,-3.983354,0.608973
33,-50.000,0,0,-4.006902,0.458440
34,-50.000,0,0,-4.039419,0.701574
35,-50.000,0,0,-4.174704,0.384125
36,-50.000,0,0,-4.227386,0.523465
37,-50.000,0,0,-4.306908,0.814637
38,-50.000,0,0,-4.262759,0.767238
39,-50.000,0,0,-4.409977,0.535818
40,-50.000,0,0,-4.465477,0.663017
41,-50.000,0,0,-4.390831,0.889879
42,-50.000,0,0,-4.469724,0.803151
43,-50.000,0,0,-4.503725,0.511410
44,-50.000,0,0,-4.654665,0.302544
45,-50.000,0,0,-4.642033,0.220280
46,-50.000,0,0,-4.573055,0.730346
47,-50.000,0,0,-4.612669,0.551556
48,-49.000,1,0,-4.649129,0.790020
49,-50.000,0,0,-4.677489,0.675505
50,-50.000,0,0,-4.632664,1.062758
51,-50.000,0,0,-4.913774,0.339727
52,-50.000,0,0,-4.747756,0.863107
53,-50.000,0,0,-4.803787,0.780760
54,-50.000,0,0,-4.985783,1.065164
55,-50.000,0,0,-4.778792,0.760165
56,-50.000,0,0,-4.856815,0.610928
57,-50.000,0,0,-4.829942,0.499611
58,-50.000,0,0,-5.060046,0.342342
59,-50.000,0,0,-5.165551,0.983939
60,-49.000,1,0,-4.981605,1.024297
61,-50.000,0,0,-5.063374,0.212655
