Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-29.000,1,0,,
2,-29.000,1,0,,
3,-29.000,1,0,,
4,-28.000,2,0,,
5,-28.000,2,0,,
6,-29.000,1,0,,
7,-29.000,1,0,,
8,-29.000,1,0,,
9,-29.000,1,0,,
10,-29.000,1,0,,
11,-24.000,4,1,-0.293614,0.072674
12,-29.000,1,0,-0.205012,0.083716
13,-24.000,4,1,-0.070112,0.093482
14,-29.000,1,0,-0.010415,0.157355
15,-28.000,2,0,0.093465,0.132117
16,-16.000,4,1,0.162006,0.141102
17,-28.000,2,0,0.207942,0.175460
18,-27.000,3,0,0.357665,0.222559
19,-29.000,1,0,0.406665,0.208288
20,-27.000,3,0,0.492513,0.268518
21,-26.000,4,1,0.485979,0.255314
22,-29.000,1,0,0.685520,0.289788
23,-28.000,2,0,0.645305,0.284923
24,-29.000,1,0,0.812859,0.276714
25,-29.000,1,0,0.885604,0.339982
26,-29.000,1,0,0.884605,0.405126
27,-29.000,1,0,0.966971,0.388948
28,-29.000,1,0,1.021561,0.411723
29,-29.000,1,0,1.132874,0.513363
30,-30.000,0,0,1.045525,0.423839
31,-24.000,4,1,1.175764,0.464314
32,-28.000,2,0,1.308045,0.466708
33,-29.000,1,0,1.215424,0.549295
34,-29.000,1,0,1.355595,0.554483
35,-29.000,1,0,1.291620,0.674116
36,-28.000,2,0,1.362998,0.609561
37,-21.000,4,1,1.569920,0.573154
38,-29.000,1,0,1.517371,0.639637
39,-28.000,2,0,1.527924,0.639112
40,-28.000,2,0,1.694103,0.605453
41,-29.000,1,0,1.607363,0.733522
42,-27.000,3,0,1.636284,0.745887
43,-21.000,4,1,1.819084,0.565617
44,-29.000,1,0,1.769732,0.716179
45,-28.000,2,0,1.673942,0.773049
46,-28.000,2,0,1.759030,0.936505
47,-29.000,1,0,1.835065,0.695579
48,-30.000,0,0,1.785603,1.090009
49,-29.000,1,0,1.949754,0.890823
50,-28.000,2,0,1.928320,0.745347
51,-17.000,4,1,1.931459,0.777234
52,-29.000,1,0,1.909174,0.777969
53,-27.000,3,0,2.030894,0.863303
54,-28.000,2,0,1.905442,0.939214
55,-27.000,3,0,2.050801,1.026504
56,-21.000,4,1,2.175541,0.829572
57,-20.000,4,1,2.152448,1.010380
58,-27.000,3,0,2.208707,1.076696
59,-29.000,1,0,2.145700,0.968201
60,-26.000,4,1,2.062383,0.933664
61,-27.000,3,0,2.331862,0.795422
62,-27.000,3,0,2.217736,1.022586
63,-28.000,2,0,2.193710,0.860886
64,-27.000,3,0,2.329746,1.157980
65,-28.000,2,0,2.251672,0.886832
66,-24.000,4,1,2.420825,0.906493
67,-27.000,3,0,2.227796,1.025917
68,-27.000,3,0,2.393939,0.944670
69,-24.000,4,1,2.369761,1.090191
70,-27.000,3,0,2.470723,0.837653
71,-28.000,2,0,2.218189,1.143468
72,-27.000,3,0,2.235823,0.890792
73,-23.000,4,1,2.391209,1.011183
74,-15.000,4,1,2.313028,1.151529
75,-23.000,4,1,2.628254,1.106099
76,-30.000,0,0,2.290286,1.267311
77,-28.000,2,0,2.437735,0.865675
78,-28.000,2,0,2.462747,1.372066
79,-27.000,3,0,2.659852,1.330983
80,-28.000,2,0,2.447396,1.309674
