Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-47.000,3,0,,
2,-50.000,0,0,,
3,-47.000,3,0,,
4,-42.000,5,1,,
5,-48.000,2,0,,
6,-49.000,1,0,-1.098537,0.799860
7,-47.000,3,0,-1.702446,0.257054
8,-48.000,2,0,-1.712590,0.188700
9,-48.000,2,0,-1.714128,0.348559
10,-47.000,3,0,-1.740024,0.231616
11,-49.000,1,0,-1.753386,0.192523
12,-49.000,1,0,-1.747686,0.154107
13,-41.000,5,1,-1.810130,0.268570
14,-33.000,5,1,-1.819746,0.239078
15,-48.000,2,0,-1.847281,0.245750
16,-49.000,1,0,-1.877203,0.158938
17,-48.000,2,0,-1.879268,0.152589
18,-47.000,3,0,-1.899862,0.189492
19,-47.000,3,0,-1.923718,0.171690
20,-46.000,4,0,-1.975595,0.197620
21,-47.000,3,0,-1.995379,0.223764
22,-44.000,5,1,-2.022578,0.175609
23,-46.000,4,0,-2.007836,0.258894
24,-48.000,2,0,-2.050354,0.217426
25,-47.000,3,0,-2.077434,0.176734
26,-46.000,4,0,-2.081821,0.247010
27,-49.000,1,0,-2.128390,0.171505
28,-38.000,5,1,-2.167210,0.205514
29,-43.000,5,1,-2.160997,0.181456
30,-48.000,2,0,-2.178656,0.200218
31,-46.000,4,0,-2.167488,0.255689
32,-25.000,5,1,-2.251604,0.289831
33,-47.000,3,0,-2.233187,0.275836
34,-48.000,2,0,-2.245021,0.209115
35,-48.000,2,0,-2.240340,0.339538
36,-29.000,5,1,-2.294038,0.188783
37,-46.000,4,0,-2.372157,0.271190
38,-48.000,2,0,-2.346250,0.370820
39,-47.000,3,0,-2.363825,0.159333
40,-48.000,2,0,-2.357714,0.374798
41,-46.000,4,0,-2.445594,0.225305
42,-38.000,5,1,-2.436395,0.226509
43,-31.000,5,1,-2.499370,0.209289
44,-47.000,3,0,-2.458395,0.400076
45,-47.000,3,0,-2.481804,0.299023
46,-49.000,1,0,-2.494665,0.428559
47,-26.000,5,1,-2.537843,0.368557
48,-48.000,2,0,-2.612767,0.279630
49,-46.000,4,0,-2.557288,0.305266
50,-47.000,3,0,-2.590223,0.248770
51,-48.000,2,0,-2.567492,0.240473
52,-48.000,2,0,-2.622311,0.407079
53,-47.000,3,0,-2.688146,0.274070
54,-46.000,4,0,-2.669588,0.329377
55,-47.000,3,0,-2.664619,0.392265
56,-46.000,4,0,-2.734718,0.189151
57,-46.000,4,0,-2.746222,0.325282
58,-48.000,2,0,-2.736096,0.243327
59,-49.000,1,0,-2.774504,0.237916
60,-46.000,4,0,-2.779484,0.325557
61,-47.000,3,0,-2.848277,0.322111
62,-48.000,2,0,-2.852889,0.174239
63,-50.000,0,0,-2.888672,0.375272
64,-47.000,3,0,-2.889791,0.311873
65,-47.000,3,0,-2.951880,0.312333
66,-48.000,2,0,-2.958518,0.335175
67,-49.000,1,0,-2.945041,0.438370
68,-46.000,4,0,-2.936633,0.395090
69,-47.000,3,0,-2.934449,0.479091
70,-48.000,2,0,-2.969967,0.459405
71,-48.000,2,0,-2.980314,0.311135
72,-47.000,3,0,-3.054308,0.285523
73,-47.000,3,0,-3.107713,0.430525
74,-46.000,4,0,-3.117151,0.488792
75,-47.000,3,0,-3.131333,0.314707
76,-44.000,5,1,-3.171165,0.190336
77,-43.000,5,1,-3.173215,0.296286
78,-46.000,4,0,-3.155088,0.241959
79,-48.000,2,0,-3.127975,0.615249
80,-48.000,2,0,-3.175158,0.306303
81,-21.000,5,1,-3.190242,0.281103
82,-50.000,0,0,-3.203780,0.435148
83,-47.000,3,0,-3.292318,0.489287
84,-42.000,5,1,-3.276838,0.326267
85,-47.000,3,0,-3.257122,0.175668
86,-46.000,4,0,-3.289465,0.258426
87,-47.000,3,0,-3.358964,0.415167
88,-48.000,2,0,-3.307738,0.433178
89,-47.000,3,0,-3.261313,0.557013
90,-50.000,0,0,-3.377232,0.590332
91,-38.000,5,1,-3.367234,0.320255
92,-44.000,5,1,-3.472311,0.386127
93,-48.000,2,0,-3.477690,0.424193
94,-48.000,2,0,-3.440609,0.535582
95,-47.000,3,0,-3.471913,0.301829
96,-46.000,4,0,-3.517337,0.695503
97,-46.000,4,0,-3.402856,0.453468
98,-50.000,0,0,-3.494606,0.556265
99,-47.000,3,0,-3.532644,0.290330
100,-46.000,4,0,-3.511169,0.387947
101,-48.000,2,0,-3.565892,0.227702
102,-47.000,3,0,-3.530428,0.407278
103,-50.000,0,0,-3.540319,0.534079
104,-46.000,4,0,-3.563998,0.694009
105,-46.000,4,0,-3.679970,0.427628
106,-48.000,2,0,-3.702716,0.469266
107,-48.000,2,0,-3.685830,0.334888
108,-48.000,2,0,-3.690485,0.287411
109,-49.000,1,0,-3.750075,0.240423
110,-48.000,2,0,-3.736870,0.261286
111,-48.000,2,0,-3.829574,0.210724
112,-46.000,4,0,-3.708181,0.555911
113,-48.000,2,0,-3.708150,0.551821
114,-43.000,5,1,-3.838903,0.557547
115,-49.000,1,0,-3.776049,0.531132
116,-49.000,1,0,-3.785508,0.357624
117,-48.000,2,0,-3.903693,0.307283
118,-46.000,4,0,-3.747659,0.358728
119,-49.000,1,0,-3.845796,0.584775
120,-49.000,1,0,-3.907297,0.312533
121,-48.000,2,0,-3.891937,0.743751
122,-43.000,5,1,-3.932622,0.660083
123,-50.000,0,0,-3.942913,0.399034
124,-49.000,1,0,-3.862773,0.833304
125,-47.000,3,0,-3.897267,0.327338
126,-47.000,3,0,-4.006475,0.599274
127,-46.000,4,0,-3.851844,0.395815
128,-49.000,1,0,-4.000767,0.798470
129,-38.000,5,1,-4.107509,0.462408
130,-47.000,3,0,-3.980609,0.387949
131,-47.000,3,0,-3.909150,0.811974
132,-48.000,2,0,-4.094678,0.593121
133,-43.000,5,1,-4.063716,0.546272
134,-48.000,2,0,-4.170517,0.664361
135,-48.000,2,0,-4.045395,0.481464
136,-46.000,4,0,-4.208300,0.470961
137,-48.000,2,0,-4.166999,0.610604
138,-45.000,5,1,-4.126055,0.768783
139,-48.000,2,0,-4.095601,0.346567
140,-47.000,3,0,-4.209597,0.438878
141,-47.000,3,0,-4.151880,0.378428
142,-48.000,2,0,-4.133502,0.294998
143,-47.000,3,0,-4.339262,0.481573
144,-38.000,5,1,-4.254259,0.625059
145,-47.000,3,0,-4.354820,0.956988
146,-46.000,4,0,-4.355094,0.627262
147,-48.000,2,0,-4.347186,0.497889
148,-49.000,1,0,-4.375817,0.740570
149,-48.000,2,0,-4.351318,0.711330
150,-47.000,3,0,-4.356686,0.774535
151,-46.000,4,0,-4.322443,0.411886
152,-49.000,1,0,-4.308341,0.279687
153,-46.000,4,0,-4.439275,0.630580
154,-49.000,1,0,-4.284276,0.696727
155,-46.000,4,0,-4.306620,0.617304
156,-48.000,2,0,-4.398368,1.076668
157,-48.000,2,0,-4.366301,0.858308
158,-47.000,3,0,-4.543893,0.292150
159,-48.000,2,0,-4.397101,0.682451
160,-47.000,3,0,-4.508215,0.789767
161,-48.000,2,0,-4.622438,0.305221
162,-48.000,2,0,-4.300477,1.256350
163,-45.000,5,1,-4.450162,0.363552
164,-49.000,1,0,-4.590405,0.375254
165,-46.000,4,0,-4.542838,1.204063
166,-47.000,3,0,-4.562695,0.468790
167,-46.000,4,0,-4.533127,0.975997
168,-48.000,2,0,-4.551983,0.827426
169,-46.000,4,0,-4.566040,0.329208
170,-48.000,2,0,-4.670151,0.924160
171,-48.000,2,0,-4.638891,0.823770
172,-47.000,3,0,-4.564220,0.874089
173,-46.000,4,0,-4.735499,0.442331
174,-50.000,0,0,-4.684460,0.549554
175,-48.000,2,0,-4.696019,0.730345
176,-48.000,2,0,-4.613255,0.804957
177,-49.000,1,0,-4.754275,0.545890
178,-49.000,1,0,-4.762315,0.690124
179,-47.000,3,0,-4.637082,0.382277
180,-48.000,2,0,-4.794026,0.935667
181,-49.000,1,0,-4.645553,0.445312
182,-50.000,0,0,-4.694819,0.421491
183,-48.000,2,0,-4.709534,0.230941
184,-46.000,4,0,-4.801267,0.665262
185,-49.000,1,0,-4.910007,0.408269
186,-48.000,2,0,-4.770642,0.978092
187,-46.000,4,0,-4.813332,0.984585
188,-47.000,3,0,-4.810580,0.822342
189,-49.000,1,0,-4.911863,0.627061
190,-49.000,1,0,-4.822040,0.894617
191,-49.000,1,0,-4.980703,0.653264
192,-41.000,5,1,-4.935345,0.391927
193,-48.000,2,0,-4.929594,0.911458
194,-46.000,4,0,-4.836288,0.945972
195,-49.000,1,0,-4.970697,0.664404
196,-47.000,3,0,-4.929537,0.383617
197,-47.000,3,0,-4.983299,0.524953
198,-49.000,1,0,-5.060087,0.732203
199,-33.000,5,1,-4.791454,1.015475
200,-33.000,5,1,-5.038803,0.655150
201,-50.000,0,0,-4.963092,0.820469
202,-48.000,2,0,-5.237008,0.342650
203,-47.000,3,0,-5.032562,0.431434
204,-47.000,3,0,-4.981818,0.943011
205,-47.000,3,0,-4.996281,0.733414
206,-47.000,3,0,-5.103937,0.443659
207,-48.000,2,0,-5.017973,0.547443
208,-47.000,3,0,-5.024087,1.045287
209,-46.000,4,0,-5.242610,0.586648
210,-47.000,3,0,-4.930706,0.683787
211,-48.000,2,0,-5.192281,0.605877
212,-47.000,3,0,-5.150804,0.668464
213,-49.000,1,0,-5.108626,1.072174
214,-49.000,1,0,-5.307426,0.302128
215,-46.000,4,0,-5.239294,0.545403
216,-48.000,2,0,-5.129507,0.950541
217,-48.000,2,0,-5.206259,1.274742
218,-47.000,3,0,-5.063393,0.573687
219,-46.000,4,0,-5.152311,0.549462
220,-47.000,3,0,-5.282338,0.745870
221,-46.000,4,0,-5.122747,0.398349
222,-48.000,2,0,-5.094147,0.641335
223,-49.000,1,0,-5.286490,0.480650
224,-47.000,3,0,-5.160885,0.690958
225,-47.000,3,0,-5.178234,0.782900
226,-46.000,4,0,-5.160813,0.749039
227,-49.000,1,0,-5.291509,0.755363
228,-48.000,2,0,-5.326353,0.596313
229,-46.000,4,0,-5.246405,0.856378
230,-48.000,2,0,-5.406885,0.532630
231,-46.000,4,0,-5.323046,0.517621
232,-48.000,2,0,-5.460607,0.171983
233,-46.000,4,0,-5.357875,1.124621
234,-46.000,4,0,-5.298419,0.653086
235,-47.000,3,0,-5.204874,0.859772
236,-48.000,2,0,-5.322845,0.549302
237,-47.000,3,0,-5.490585,0.414177
238,-49.000,1,0,-5.337346,0.486467
239,-48.000,2,0,-5.444200,0.690340
240,-46.000,4,0,-5.392963,0.447166
241,-48.000,2,0,-5.479171,0.559999
242,-49.000,1,0,-5.531510,0.793366
243,-48.000,2,0,-5.372556,0.770567
244,-48.000,2,0,-5.421784,1.128186
245,-49.000,1,0,-5.566071,0.647469
246,-49.000,1,0,-5.363577,0.760771
247,-46.000,4,0,-5.466928,0.654300
248,-46.000,4,0,-5.464939,1.023237
249,-47.000,3,0,-5.470846,0.671665
250,-47.000,3,0,-5.469843,1.329877
251,-48.000,2,0,-5.480443,0.634567
252,-47.000,3,0,-5.505702,0.722803
253,-49.000,1,0,-5.502551,0.332890
254,-48.000,2,0,-5.407468,1.364568
255,-48.000,2,0,-5.379861,1.144687
256,-47.000,3,0,-5.427981,0.283035
257,-46.000,4,0,-5.309400,1.161073
258,-47.000,3,0,-5.712702,0.491782
259,-48.000,2,0,-5.606131,0.610429
260,-49.000,1,0,-5.538184,0.707857
261,-45.000,5,1,-5.691970,0.460946
262,-46.000,4,0,-5.383374,0.887256
263,-46.000,4,0,-5.402703,1.194551
264,-46.000,4,0,-5.769703,0.666795
265,-48.000,2,0,-5.574237,0.583525
266,-48.000,2,0,-5.800867,0.573846
267,-46.000,4,0,-5.654801,0.922230
268,-46.000,4,0,-5.606787,1.266167
269,-32.000,5,1,-5.604482,1.142268
270,-48.000,2,0,-5.497062,1.125483
271,-49.000,1,0,-5.723772,0.953443
272,-30.000,5,1,-5.520241,1.049307
273,-48.000,2,0,-5.737908,0.767693
274,-44.000,5,1,-5.999724,0.686285
275,-49.000,1,0,-5.804965,0.576525
276,-48.000,2,0,-5.528969,0.741946
277,-47.000,3,0,-5.811006,0.858706
278,-31.000,5,1,-5.739197,0.805425
279,-48.000,2,0,-5.774406,0.747125
280,-46.000,4,0,-5.803734,1.221204
281,-48.000,2,0,-5.641617,0.639964
282,-46.000,4,0,-5.672070,2.071925
283,-47.000,3,0,-5.831134,0.747275
284,-48.000,2,0,-5.679239,0.533620
285,-50.000,0,0,-5.750694,1.133099
286,-49.000,1,0,-5.669675,1.118447
287,-48.000,2,0,-5.808682,1.123279
288,-36.000,5,1,-5.507352,0.868070
289,-42.000,5,1,-5.681158,0.359220
290,-48.000,2,0,-5.797103,0.860079
291,-50.000,0,0,-5.960315,0.599138
292,-47.000,3,0,-5.779387,0.632354
293,-48.000,2,0,-5.889755,2.574468
294,-46.000,4,0,-5.622689,0.887644
295,-49.000,1,0,-6.037121,0.337806
296,-49.000,1,0,-5.976633,1.121811
297,-48.000,2,0,-5.736861,0.773908
298,-47.000,3,0,-5.788472,1.580058
299,-47.000,3,0,-5.639030,0.513483
300,-39.000,5,1,-5.935250,0.872030
301,-48.000,2,0,-5.948960,0.486992
302,-47.000,3,0,-5.667530,0.596695
303,-48.000,2,0,-5.883619,0.468172
304,-35.000,5,1,-5.806855,0.959259
305,-48.000,2,0,-5.771646,0.651190
306,-50.000,0,0,-5.757442,1.631050
307,-48.000,2,0,-5.812488,0.654088
308,-46.000,4,0,-5.822288,0.756008
309,-49.000,1,0,-5.985245,0.958185
310,-47.000,3,0,-5.704503,1.927553
311,-47.000,3,0,-5.960827,1.383594
312,-47.000,3,0,-5.810120,1.175303
313,-46.000,4,0,-6.102697,0.858622
314,-47.000,3,0,-5.905041,1.507305
315,-48.000,2,0,-6.066929,0.974066
316,-48.000,2,0,-5.849487,1.619812
317,-46.000,4,0,-6.053499,1.673661
318,-48.000,2,0,-6.011223,1.012292
319,-47.000,3,0,-5.925001,1.456891
320,-47.000,3,0,-5.772277,0.819308
321,-46.000,4,0,-5.916224,1.004719
322,-47.000,3,0,-6.036223,0.971361
323,-49.000,1,0,-6.217937,0.378225
324,-47.000,3,0,-5.981282,0.494515
325,-40.000,5,1,-6.082690,0.919092
326,-46.000,4,0,-6.046961,0.866678
327,-47.000,3,0,-5.984650,0.371085
328,-47.000,3,0,-5.812994,1.008623
329,-46.000,4,0,-5.881795,1.052314
330,-48.000,2,0,-6.040818,0.857083
331,-48.000,2,0,-6.008540,1.028031
