Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-58.000,2,0,,
2,-60.000,0,0,,
3,-60.000,0,0,,
4,-57.000,3,0,,
5,-60.000,0,0,,
6,-59.000,1,0,,
7,-59.000,1,0,,
8,-59.000,1,0,,
9,-57.000,3,0,,
10,-56.000,4,0,,
11,-57.000,3,0,,
12,-58.000,2,0,,
13,-56.000,4,0,,
14,-59.000,1,0,,
15,-59.000,1,0,,
16,-58.000,2,0,,
17,-59.000,1,0,-3.230507,0.293361
18,-57.000,3,0,-3.491746,0.437597
19,-57.000,3,0,-3.630373,0.319610
20,-58.000,2,0,-3.653919,0.559805
21,-55.000,5,0,-3.653976,0.547784
22,-54.000,6,0,-3.779883,0.312174
23,-56.000,4,0,-3.905504,0.514240
24,-57.000,3,0,-4.022049,0.439878
25,-55.000,5,0,-3.979730,0.627048
26,-57.000,3,0,-4.196675,0.613435
27,-59.000,1,0,-4.280895,0.398122
28,-58.000,2,0,-4.364277,0.528705
29,-58.000,2,0,-4.404602,0.335445
30,-57.000,3,0,-4.441846,0.827012
31,-55.000,5,0,-4.528725,0.554935
32,-59.000,1,0,-4.599360,0.690475
33,-55.000,5,0,-4.641249,0.611598
34,-57.000,3,0,-4.791628,0.402023
35,-58.000,2,0,-4.853786,0.584207
36,-56.000,4,0,-4.928473,0.804347
37,-54.000,6,0,-4.804902,0.818947
38,-56.000,4,0,-5.027389,0.394900
39,-58.000,2,0,-4.970227,0.786041
40,-58.000,2,0,-5.053300,0.871955
41,-58.000,2,0,-5.075102,1.209732
42,-55.000,5,0,-5.198619,0.483636
43,-57.000,3,0,-5.236947,0.526627
44,-59.000,1,0,-5.169106,0.644190
45,-57.000,3,0,-5.216597,0.902844
46,-58.000,2,0,-5.315680,0.836359
47,-58.000,2,0,-5.418838,1.273828
48,-54.000,6,0,-5.462937,0.916691
49,-60.000,0,0,-5.429448,0.580301
50,-57.000,3,0,-5.485373,1.007929
51,-57.000,3,0,-5.498230,1.135887
52,-57.000,3,0,-5.617424,0.575537
53,-55.000,5,0,-5.589931,0.151544
54,-56.000,4,0,-5.610778,0.924775
55,-55.000,5,0,-5.738043,1.228618
56,-58.000,2,0,-5.617409,0.911327
57,-59.000,1,0,-5.755595,0.793248
58,-58.000,2,0,-5.894435,0.763289
59,-55.000,5,0,-5.822695,0.477343
60,-56.000,4,0,-5.788582,0.635437
61,-58.000,2,0,-5.736246,1.261571
62,-52.000,8,0,-5.861755,0.900345
63,-56.000,4,0,-5.830936,1.695121
64,-58.000,2,0,-5.924805,0.655179
65,-57.000,3,0,-5.841476,0.857250
66,-58.000,2,0,-6.089424,0.555858
67,-54.000,6,0,-6.123600,1.021070
68,-57.000,3,0,-5.927592,0.923301
69,-57.000,3,0,-5.951225,0.516282
70,-58.000,2,0,-5.927115,0.883984
71,-56.000,4,0,-5.922422,2.383296
72,-58.000,2,0,-5.958212,1.085022
73,-55.000,5,0,-6.012362,0.943715
74,-56.000,4,0,-6.138237,1.059874
75,-54.000,6,0,-6.142195,1.050936
76,-56.000,4,0,-6.168269,1.317055
77,-58.000,2,0,-6.054765,0.837235
78,-59.000,1,0,-6.218728,0.472931
79,-57.000,3,0,-6.277953,1.368427
80,-57.000,3,0,-6.123102,0.940740
81,-55.000,5,0,-6.173366,0.802631
82,-57.000,3,0,-6.055793,1.263195
83,-56.000,4,0,-6.227082,0.727697
84,-59.000,1,0,-6.154754,1.267458
85,-57.000,3,0,-6.108381,1.371799
86,-59.000,1,0,-6.253120,0.809681
87,-54.000,6,0,-6.095729,1.030319
88,-59.000,1,0,-6.117946,1.992295
89,-57.000,3,0,-6.218995,1.446986
90,-58.000,2,0,-6.301816,1.241467
91,-58.000,2,0,-6.289208,0.745347
92,-57.000,3,0,-6.140259,1.159994
93,-58.000,2,0,-6.278574,0.602930
94,-56.000,4,0,-6.261071,1.226137
95,-60.000,0,0,-6.313130,1.196353
96,-55.000,5,0,-6.245213,1.059975
97,-59.000,1,0,-6.314037,0.680129
98,-53.000,7,0,-6.422976,0.304895
99,-56.000,4,0,-6.437650,0.167328
100,-56.000,4,0,-6.118577,1.710415
101,-56.000,4,0,-6.165264,1.478451
102,-57.000,3,0,-6.318951,1.877119
103,-58.000,2,0,-6.083089,1.850924
104,-57.000,3,0,-6.157251,0.638845
105,-58.000,2,0,-6.142232,1.378654
106,-55.000,5,0,-6.092161,1.175388
107,-56.000,4,0,-6.151882,1.005113
108,-57.000,3,0,-6.205563,0.225060
109,-59.000,1,0,-6.182013,0.833202
110,-53.000,7,0,-6.041929,0.478835
111,-54.000,6,0,-6.081416,0.927360
112,-58.000,2,0,-6.017987,1.088843
113,-58.000,2,0,-6.055969,0.960132
114,-55.000,5,0,-6.029556,0.974676
115,-53.000,7,0,-6.172040,1.210305
116,-58.000,2,0,-6.023975,1.003891
117,-60.000,0,0,-6.090930,0.529183
118,-55.000,5,0,-5.985005,0.979089
119,-59.000,1,0,-6.062702,0.957414
120,-56.000,4,0,-6.038498,0.321357
121,-58.000,2,0,-5.978964,1.397694
122,-56.000,4,0,-5.959993,1.752414
123,-58.000,2,0,-5.911168,0.659413
124,-58.000,2,0,-5.745574,1.256225
125,-60.000,0,0,-5.979302,0.489096
126,-56.000,4,0,-5.903100,1.064640
127,-54.000,6,0,-5.849848,1.703961
128,-58.000,2,0,-5.897837,0.569402
129,-56.000,4,0,-5.893239,1.273004
130,-56.000,4,0,-5.785390,0.673802
131,-58.000,2,0,-5.938094,1.111012
132,-57.000,3,0,-5.591490,0.823300
133,-58.000,2,0,-5.694737,0.534122
134,-55.000,5,0,-5.772361,0.895339
135,-56.000,4,0,-5.839181,0.961558
136,-57.000,3,0,-5.582819,1.180462
137,-59.000,1,0,-5.671978,0.375529
138,-54.000,6,0,-5.590064,0.280546
139,-58.000,2,0,-5.686170,0.569858
140,-56.000,4,0,-5.513067,0.320032
141,-59.000,1,0,-5.594679,1.258597
142,-58.000,2,0,-5.457203,0.836812
143,-58.000,2,0,-5.436473,0.640374
144,-56.000,4,0,-5.414721,1.084428
145,-59.000,1,0,-5.483448,1.071516
146,-55.000,5,0,-5.306806,0.730366
147,-58.000,2,0,-5.288856,0.486637
148,-56.000,4,0,-5.305097,1.585557
149,-56.000,4,0,-5.289012,0.917471
150,-58.000,2,0,-5.225449,0.825041
151,-54.000,6,0,-5.473343,0.318277
152,-56.000,4,0,-5.416515,0.545168
153,-57.000,3,0,-5.247502,0.370128
154,-56.000,4,0,-5.194200,0.537078
155,-55.000,5,0,-5.080536,0.743511
156,-56.000,4,0,-5.113700,0.738918
157,-55.000,5,0,-5.130997,0.401612
158,-56.000,4,0,-4.990012,0.587854
159,-58.000,2,0,-4.941628,0.506733
160,-54.000,6,0,-5.034180,0.353526
161,-57.000,3,0,-4.908373,0.335779
162,-59.000,1,0,-4.823967,0.632697
163,-54.000,6,0,-4.831395,0.615276
164,-57.000,3,0,-4.720870,0.523829
165,-57.000,3,0,-4.824655,0.421494
166,-60.000,0,0,-4.749435,0.866200
167,-55.000,5,0,-4.477681,1.098737
168,-57.000,3,0,-4.662127,0.798003
169,-60.000,0,0,-4.457144,0.311801
170,-57.000,3,0,-4.284353,1.277958
171,-54.000,6,0,-4.370634,0.279248
172,-57.000,3,0,-4.438079,0.826403
173,-59.000,1,0,-4.565712,0.571585
174,-58.000,2,0,-4.461039,0.540790
175,-59.000,1,0,-4.411748,0.404314
176,-57.000,3,0,-4.472474,0.434487
177,-55.000,5,0,-4.168512,0.772694
178,-56.000,4,0,-4.137966,1.004062
179,-58.000,2,0,-4.334042,0.294455
180,-60.000,0,0,-4.004646,0.588469
181,-59.000,1,0,-4.121939,0.825896
182,-54.000,6,0,-4.012249,0.679273
183,-58.000,2,0,-3.885447,0.940114
184,-58.000,2,0,-3.959908,0.623850
185,-56.000,4,0,-3.777482,0.381050
186,-56.000,4,0,-3.954354,0.417487
187,-55.000,5,0,-3.858438,0.255521
188,-56.000,4,0,-3.735844,0.382667
189,-56.000,4,0,-3.826348,0.621001
190,-57.000,3,0,-3.728652,0.517477
191,-57.000,3,0,-3.618248,0.426768
192,-57.000,3,0,-3.707232,0.275316
193,-58.000,2,0,-3.597677,0.449147
194,-54.000,6,0,-3.499265,0.579138
195,-55.000,5,0,-3.619213,0.518928
196,-56.000,4,0,-3.581254,0.183014
197,-57.000,3,0,-3.210494,0.773594
198,-56.000,4,0,-3.248979,0.261461
199,-54.000,6,0,-3.296815,0.390322
200,-55.000,5,0,-3.188311,0.560497
201,-56.000,4,0,-3.105270,0.566215
202,-58.000,2,0,-3.233252,0.212639
203,-58.000,2,0,-3.109692,0.525540
204,-56.000,4,0,-3.133909,0.313914
205,-56.000,4,0,-3.145248,0.385943
206,-57.000,3,0,-2.867146,0.261712
207,-58.000,2,0,-2.987133,0.206914
208,-57.000,3,0,-2.853808,0.258874
209,-55.000,5,0,-2.749526,0.229128
210,-55.000,5,0,-2.813407,0.394479
211,-57.000,3,0,-2.757638,0.155216
212,-55.000,5,0,-2.711432,0.265285
213,-59.000,1,0,-2.717403,0.482667
214,-55.000,5,0,-2.521047,0.354059
215,-58.000,2,0,-2.489563,0.215671
216,-58.000,2,0,-2.587253,0.254605
217,-54.000,6,0,-2.390520,0.267505
218,-58.000,2,0,-2.318182,0.269329
219,-59.000,1,0,-2.533644,0.390665
220,-57.000,3,0,-2.264778,0.317625
221,-55.000,5,0,-2.148434,0.282846
222,-58.000,2,0,-2.253526,0.300700
223,-56.000,4,0,-2.215964,0.314228
224,-56.000,4,0,-2.053120,0.331195
225,-54.000,6,0,-2.175081,0.179425
226,-51.000,9,0,-1.871822,0.276596
227,-56.000,4,0,-1.978694,0.161440
228,-55.000,5,0,-1.903876,0.209921
