Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-2.000,1,0.243,,
2,-6.000,1,0.360,,
3,-8.000,1,0.793,,
4,-2.000,1,0.868,,
5,-10.000,0,10.736,,
6,-1.000,1,0.631,,
7,-2.000,1,0.771,,
8,-2.000,1,0.528,,
9,-10.000,0,2.657,,
10,-2.000,1,0.523,,
11,-10.000,0,11.628,-2.570757,32.933445
12,-2.000,1,0.923,-2.726620,26.344999
13,-2.000,1,0.936,-3.254773,19.491966
14,-1.000,1,0.416,-3.635820,16.832117
15,-1.000,1,0.528,-4.226518,13.056316
16,-10.000,0,1.156,-4.170513,12.811211
17,-10.000,0,10.226,-5.171738,10.545190
18,-10.000,0,1.036,-4.607663,11.032768
19,-10.000,0,1.661,-5.103052,10.356098
20,-10.000,0,1.319,-5.545878,7.886502
21,-2.000,1,0.583,-4.480492,7.114664
22,-1.000,1,0.785,-4.876217,9.112295
23,-1.000,1,0.323,-5.393265,7.287442
24,-4.000,1,0.896,-5.169216,7.876315
25,-1.000,1,0.913,-4.964217,8.956447
26,-2.000,1,0.656,-4.957168,8.340472
27,-3.000,1,0.619,-5.094535,8.374346
28,-2.000,1,0.687,-5.233409,9.034286
29,-2.000,1,0.929,-4.911827,6.950947
30,-5.000,1,0.969,-5.110603,8.457738
31,-10.000,0,2.098,-4.632513,7.180719
32,-2.000,1,0.448,-4.781824,6.586617
33,-2.000,1,0.647,-5.091232,7.533474
34,-10.000,0,1.821,-5.393206,7.525541
35,-10.000,0,1.402,-4.743413,6.401978
36,-2.000,1,0.627,-5.412513,6.997321
37,-1.000,1,0.869,-5.392437,7.560763
38,-1.000,1,0.641,-4.784871,9.123144
39,-2.000,1,0.303,-5.041781,7.368332
40,-2.000,1,0.972,-4.624510,8.945520
41,-10.000,0,1.796,-5.146804,7.718606
42,-10.000,0,2.588,-4.356718,6.830291
43,-2.000,1,0.354,-4.807397,7.187154
44,-10.000,0,9.061,-5.132171,8.508750
45,-1.000,1,0.821,-5.702610,5.783460
46,-10.000,0,1.150,-4.854296,7.496764
47,-10.000,0,1.755,-4.791317,9.207781
48,-1.000,1,0.651,-5.164022,6.727926
49,-10.000,0,2.029,-4.860913,6.882117
50,-2.000,1,0.379,-5.134502,8.678022
51,-10.000,0,1.174,-4.693452,11.747990
52,-1.000,1,0.653,-4.169398,8.413918
53,-8.000,1,0.757,-5.186954,6.941947
54,-1.000,1,0.508,-4.423604,9.080040
55,-1.000,1,0.758,-4.270775,8.260307
56,-1.000,1,0.581,-4.750891,7.666324
57,-1.000,1,0.590,-4.450729,6.837533
58,-10.000,0,7.872,-4.872572,8.457100
59,-2.000,1,0.490,-4.014889,8.560778
60,-10.000,0,2.171,-4.855263,7.764849
61,-2.000,1,0.522,-3.846593,10.370452
62,-4.000,1,0.518,-4.407343,9.508101
63,-1.000,1,0.928,-4.757842,8.666447
64,-1.000,1,0.932,-5.792393,8.754126
65,-8.000,1,0.939,-4.441976,7.864625
66,-10.000,0,2.729,-4.154913,7.897875
67,-4.000,1,0.259,-4.343059,8.975161
68,-6.000,1,0.463,-4.049843,8.792673
69,-2.000,1,0.879,-4.702617,7.659836
70,-1.000,1,0.145,-4.376241,8.291698
71,-2.000,1,0.863,-3.866720,8.192890
72,-5.000,1,0.172,-4.590439,8.987950
73,-10.000,0,2.388,-4.146500,8.519955
74,-10.000,0,1.521,-5.028975,8.352058
75,-1.000,1,0.371,-4.198100,10.331807
76,-1.000,1,0.675,-5.101663,8.690741
77,-1.000,1,0.555,-4.061251,11.791510
78,-10.000,0,5.734,-5.591731,9.481861
79,-10.000,0,1.708,-5.086394,8.257301
80,-10.000,0,7.837,-5.419608,9.595460
81,-1.000,1,0.710,-4.303607,7.959106
82,-2.000,1,0.544,-4.451915,9.582329
83,-2.000,1,0.500,-4.714159,9.489440
84,-1.000,1,0.516,-4.027263,11.371399
85,-2.000,1,0.745,-4.835003,8.320509
86,-8.000,1,0.928,-4.490112,7.272061
87,-1.000,1,0.724,-4.515323,10.385209
88,-10.000,0,1.599,-4.709060,9.431644
89,-2.000,1,0.828,-4.211280,8.893854
90,-1.000,1,0.877,-4.522778,7.947432
91,-2.000,1,0.884,-4.572453,7.366770
92,-2.000,1,0.671,-4.889085,8.323898
93,-10.000,0,1.166,-4.610325,8.260891
94,-10.000,0,1.724,-4.997635,8.602667
95,-2.000,1,0.382,-4.670917,8.213602
96,-4.000,1,0.476,-4.508420,11.207567
97,-2.000,1,0.743,-3.494922,8.856461
98,-1.000,1,0.999,-4.973269,7.708411
99,-2.000,1,0.719,-4.615650,11.491659
100,-1.000,1,0.729,-4.497269,9.707073
101,-8.000,1,0.505,-4.231349,12.922205
102,-1.000,1,0.850,-4.753683,9.168251
103,-1.000,1,0.400,-4.543967,9.084157
104,-10.000,0,2.323,-4.236258,8.815461
105,-1.000,1,0.465,-3.507338,9.564240
106,-1.000,1,0.476,-4.847049,8.500813
107,-3.000,1,0.742,-4.760362,8.088924
108,-1.000,1,0.273,-3.778186,8.071766
109,-2.000,1,0.579,-4.691803,7.645750
110,-3.000,1,0.564,-4.275637,8.001176
111,-10.000,0,2.122,-4.274411,9.165068
112,-2.000,1,0.909,-4.692682,7.371948
113,-2.000,1,0.654,-4.585902,9.828016
114,-6.000,1,0.840,-4.691789,9.995726
115,-10.000,0,2.025,-3.884094,12.486389
116,-10.000,0,10.780,-4.457684,7.836461
117,-10.000,0,10.543,-4.658845,10.125622
118,-6.000,1,0.631,-4.805192,9.160934
119,-3.000,1,0.688,-5.188336,8.795866
120,0.000,1,0.936,-4.683331,7.894408
121,-3.000,1,0.789,-4.369281,6.565821
122,-1.000,1,0.573,-4.644674,8.544831
123,-10.000,0,1.455,-4.679319,7.161836
124,-10.000,0,1.462,-4.317720,8.418709
125,-2.000,1,0.970,-5.383805,9.060780
126,-10.000,0,3.017,-4.003730,8.198718
127,-2.000,1,0.374,-4.574668,7.128538
128,-10.000,0,1.146,-4.749380,8.943363
129,-2.000,1,0.996,-4.801324,7.296769
130,-10.000,0,3.514,-4.708946,9.191653
131,-2.000,1,0.554,-4.367167,7.454088
132,-2.000,1,0.379,-4.810651,8.836973
133,-2.000,1,0.551,-4.352609,9.516878
134,-10.000,0,14.235,-4.928438,8.752760
135,-2.000,1,0.248,-4.386630,8.908763
136,-2.000,1,0.736,-4.456708,8.137571
137,-10.000,0,1.032,-4.400413,8.016362
138,-1.000,1,0.859,-4.432182,9.125217
139,-10.000,0,4.854,-4.281295,7.643892
140,-2.000,1,0.405,-3.611457,9.070894
141,-10.000,0,1.497,-3.970766,9.041817
142,-10.000,0,2.439,-3.721606,9.520795
143,-3.000,1,0.487,-4.331126,7.887875
144,-10.000,0,1.162,-3.880944,9.224339
145,-1.000,1,0.762,-4.592463,8.700277
146,-10.000,0,1.393,-4.675826,8.856972
147,-3.000,1,0.466,-4.520234,10.967314
148,-10.000,0,1.151,-4.771275,9.549164
149,-1.000,1,0.992,-4.197523,7.328227
150,-10.000,0,2.480,-4.950695,10.112965
151,-1.000,1,0.752,-5.115085,6.612051
152,-10.000,0,1.218,-4.595284,9.100002
153,-1.000,1,0.198,-5.079789,8.522799
154,-1.000,1,0.707,-4.334953,12.681968
155,-2.000,1,0.712,-4.148940,9.795435
156,-2.000,1,0.450,-4.517807,7.755507
157,-10.000,0,1.765,-4.632494,8.707703
158,-8.000,1,0.944,-4.432029,9.056580
159,-2.000,1,0.392,-5.095600,6.533952
160,-3.000,1,0.520,-4.838392,7.895686
161,-1.000,1,0.824,-4.114159,11.532213
162,-1.000,1,0.840,-3.931952,13.300121
163,-10.000,0,1.226,-4.566129,8.646457
164,-1.000,1,0.992,-4.550236,8.807799
165,-2.000,1,0.868,-4.817179,9.312181
166,-10.000,0,4.406,-3.875711,7.937783
167,-1.000,1,0.911,-5.056249,8.963530
168,-2.000,1,0.754,-4.566073,8.364449
169,-1.000,1,0.670,-4.583060,7.971790
170,-1.000,1,0.879,-3.700288,9.987537
171,-3.000,1,0.859,-4.477852,6.422813
172,-1.000,1,0.596,-4.497590,8.891172
173,-10.000,0,1.797,-3.725594,8.010986
174,-2.000,1,0.286,-4.051244,9.240345
175,-1.000,1,0.519,-4.390227,11.747250
