Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,0.799,0,8.765,,
2,0.011,0,7.697,,
3,2.945,0,2.267,,
4,1.153,0,6.902,,
5,0.994,0,7.766,,
6,0.945,0,5.466,,
7,1.967,0,3.193,,
8,2.177,0,5.105,,
9,0.601,0,5.570,,
10,1.424,0,4.662,,
11,-0.842,0,5.218,,
12,0.041,0,5.567,,
13,1.955,0,3.896,,
14,-0.574,0,2.863,,
15,0.632,0,4.621,,
16,1.242,0,7.195,,
17,1.183,0,3.720,,
18,0.019,0,3.182,,
19,1.623,0,1.014,,
20,1.733,0,6.574,-4.698160,27.654613
21,1.913,0,5.563,-5.366586,27.480444
22,1.135,0,4.422,-5.833390,22.152161
23,1.311,0,7.412,-6.218762,21.105404
24,2.499,0,3.302,-6.461168,18.845200
25,1.258,0,8.540,-6.655801,16.761780
26,0.287,0,7.367,-6.775661,14.084633
27,1.543,0,4.098,-7.074591,12.183601
28,1.095,0,8.360,-7.396371,10.547476
29,1.349,0,7.148,-7.724815,10.180045
30,1.430,0,4.984,-7.740876,9.118212
31,3.052,0,2.824,-7.837039,6.969151
32,1.237,0,9.726,-8.133713,7.649878
33,1.703,0,8.536,-8.466200,7.545218
34,0.139,0,5.457,-8.543647,8.177980
35,0.836,0,7.957,-8.792641,4.962372
36,2.636,0,3.174,-8.794339,4.900495
37,1.722,0,3.024,-9.025970,5.949469
38,2.072,0,1.490,-9.116971,6.688420
39,2.037,0,3.810,-9.405160,6.405112
40,0.342,0,7.141,-9.537226,3.275295
41,1.550,0,5.111,-9.513575,5.567508
42,0.812,0,11.536,-9.714949,2.202335
43,0.742,0,4.951,-9.769245,3.578684
44,1.129,0,5.629,-9.818166,3.392648
45,1.590,0,5.087,-9.893909,2.783046
46,2.285,0,5.172,-9.949759,5.364288
47,1.979,0,5.873,-10.076189,3.051135
48,1.452,0,5.260,-10.245697,2.327516
49,2.610,0,3.666,-10.178679,5.041491
50,1.475,0,5.274,-10.271075,3.177691
51,1.328,0,4.944,-10.447681,3.273301
52,1.110,0,5.970,-10.325204,5.086328
53,1.328,0,6.813,-10.281982,3.725916
54,0.137,0,9.477,-10.538759,3.555465
55,2.735,0,3.717,-10.341766,5.785652
56,1.829,0,4.381,-10.594815,5.171437
57,1.082,0,7.547,-10.632215,3.975674
58,0.092,0,7.713,-10.449839,4.096959
59,102.776,1,0.641,-10.509240,4.230676
60,0.388,0,5.704,-10.485799,2.758132
61,1.484,0,7.480,-10.472185,5.359487
62,1.493,0,4.071,-10.619259,3.102163
63,1.075,0,9.405,-10.692779,2.672098
64,1.776,0,4.554,-10.672311,3.380873
65,2.362,0,5.392,-10.447927,3.940007
66,1.068,0,5.979,-10.431328,4.696818
67,1.746,0,4.118,-10.753380,3.052117
68,1.098,0,5.695,-10.400023,6.261397
69,1.841,0,6.506,-10.673838,2.073004
70,0.892,0,6.205,-10.252448,6.397979
71,1.636,0,5.426,-10.456158,4.926815
72,1.856,0,4.292,-10.604801,5.118082
73,0.952,0,1.938,-10.480055,5.669458
74,0.803,0,6.764,-10.383263,4.332964
75,2.039,0,5.372,-10.551594,4.934270
76,102.974,1,0.784,-10.596786,3.113979
77,1.423,0,4.108,-10.436049,5.037503
78,2.074,0,4.904,-10.318172,3.559870
79,0.273,0,6.323,-10.411213,3.487604
80,2.064,0,3.252,-10.323526,67.049438
81,-0.456,0,7.032,-10.278420,5.125148
82,-0.465,0,8.626,-9.924831,5.918118
83,2.016,0,2.450,-10.694553,2.938444
84,3.261,0,1.927,-10.374839,2.646436
85,1.295,0,2.283,-10.460249,2.505359
86,1.884,0,3.868,-10.292564,1.603462
87,1.140,0,5.598,-10.200962,3.446323
88,1.079,0,3.085,-10.326818,5.353778
89,1.102,0,8.807,-10.246941,4.447537
90,0.601,0,3.948,-10.045255,3.459565
91,0.911,0,7.094,-10.184605,1.654626
92,1.542,0,4.502,-10.185032,2.583847
93,0.742,0,5.905,-10.005529,4.464412
94,-0.132,0,9.568,-10.358780,2.890858
95,2.610,0,5.836,-9.929702,4.921624
96,2.209,0,4.154,-10.051887,65.439384
97,1.038,0,3.448,-10.070929,6.726223
98,2.262,0,3.371,-10.072031,4.441098
99,0.421,0,8.592,-9.996368,6.357598
100,2.547,0,5.473,-9.880423,4.058209
