Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-55.103,0,9.586,,
2,-28.262,0,4.017,,
3,-72.673,0,10.495,,
4,-30.911,0,24.961,,
5,-23.983,0,12.989,,
6,-23.319,0,14.790,,
7,-29.507,0,10.630,,
8,-58.741,0,17.076,,
9,-30.797,0,21.558,,
10,-64.255,0,25.163,,
11,-56.614,0,38.751,-9.983935,57.661385
12,-23.414,0,14.274,-13.181563,12.366219
13,-22.642,0,5.048,-13.588326,9.952908
14,-60.875,0,21.782,-13.913584,7.362744
15,-52.117,0,21.390,-14.446971,6.269472
16,-65.306,0,19.353,-14.842971,33.947594
17,-23.672,0,15.527,-15.399292,8.033777
18,-57.967,0,7.567,-15.791259,64.164665
19,-21.563,0,12.684,-16.230104,8.078367
20,-60.354,0,7.737,-16.605156,5.256661
21,-50.000,0,47.551,-17.013922,7.055263
22,-50.000,0,38.119,-17.260164,7.873024
23,-21.094,0,7.450,-17.608284,10.547496
24,-23.982,0,12.190,-17.949335,42.267105
25,-33.154,0,21.138,-18.148520,12.615526
26,-24.715,0,12.388,-18.494999,24.197472
27,-72.971,0,16.090,-18.727835,12.241121
28,-29.234,0,7.888,-18.547235,17.012688
29,-64.061,0,35.277,-19.058294,16.766453
30,-29.981,0,14.075,-18.679245,28.104273
31,-29.350,0,27.317,-19.292027,24.964138
32,-71.790,0,8.028,-19.347256,31.613195
33,-18.672,0,9.740,-19.510864,33.520359
34,-20.992,0,11.430,-19.449739,60.209419
35,-24.755,0,11.137,-20.127134,23.835400
36,-50.000,0,27.072,-19.552769,27.828848
37,-22.496,0,14.646,-19.693386,31.985668
38,-33.226,0,16.261,-19.793474,30.937840
39,-22.944,0,15.689,-19.641262,30.070709
40,-19.272,0,17.639,-19.868856,31.910486
41,-24.081,0,18.271,-19.885941,31.439156
42,-29.968,0,18.491,-19.567888,30.286259
43,-67.365,0,17.891,-19.515095,35.624271
44,-56.771,0,13.830,-19.636032,40.469505
45,-29.406,0,14.184,-20.073601,32.477497
46,-24.887,0,4.472,-19.857925,37.483368
47,-30.093,0,14.726,-19.580948,32.384560
48,-25.763,0,7.647,-19.305918,34.727840
49,-68.100,0,21.098,-19.826483,33.308449
50,-24.107,0,8.102,-19.307564,41.038933
51,-22.832,0,9.735,-19.490755,35.846497
52,-61.128,0,13.808,-19.339609,30.641306
53,-28.158,0,20.652,-19.200491,28.920294
54,-21.325,0,14.232,-18.932438,31.764042
55,-25.666,0,14.648,-18.840645,31.798475
56,-23.742,0,14.331,-19.053574,31.045876
57,-26.765,0,17.496,-18.714033,64.068687
58,-28.365,0,9.144,-18.272659,30.438652
59,-73.595,0,10.805,-18.496391,53.915409
60,-47.360,0,8.624,-18.448065,28.896595
61,-67.733,0,26.907,-18.537971,28.076506
62,-59.210,0,18.343,-18.398500,36.146225
63,-58.240,0,7.283,-17.659803,31.632927
64,-31.476,0,21.319,-17.828543,58.857239
65,-65.952,0,13.109,-17.726183,22.892683
66,-27.925,0,8.704,-17.684029,27.875187
67,-25.628,0,16.201,-17.341415,20.974876
68,-56.415,0,15.887,-17.418030,58.711445
69,-62.053,0,12.565,-16.866510,20.595280
70,-33.530,0,11.116,-17.014086,31.984749
71,-15.208,0,10.948,-16.859257,22.861080
72,-21.224,0,10.471,-16.607079,80.935730
