Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-55.393,0,12.459,,
2,-28.978,0,3.933,,
3,-72.596,0,9.740,,
4,-32.068,0,25.729,,
5,-24.500,0,15.165,,
6,-23.480,0,14.497,,
7,-28.810,0,11.006,,
8,-58.426,0,15.805,,
9,-30.603,0,21.597,,
10,-64.162,0,23.872,,
11,-33.587,0,22.347,-9.979352,80.087173
12,-69.768,0,10.741,-13.223550,14.427796
13,-27.225,0,10.423,-13.407888,63.036606
14,-24.792,0,10.500,-13.885922,35.180218
15,-22.353,0,10.913,-14.475505,4.466316
16,-52.426,0,17.085,-14.810963,6.338552
17,-23.055,0,10.111,-15.481052,3.075028
18,-61.194,0,42.022,-15.996986,6.120000
19,-59.549,0,9.144,-16.452082,2.267761
20,-22.002,0,16.790,-16.813370,6.938366
21,-57.174,0,10.522,-17.118595,7.102944
22,-31.640,0,14.643,-17.517769,6.210631
23,-26.762,0,12.746,-17.795822,8.406937
24,-65.191,0,20.575,-18.112352,72.332260
25,-64.642,0,14.717,-18.346609,43.644077
26,-63.823,0,18.429,-18.596832,13.490540
27,-22.556,0,8.054,-18.706621,17.323044
28,-58.508,0,17.089,-18.983154,23.208080
29,-58.019,0,27.929,-19.228584,17.449230
30,-29.833,0,8.928,-19.207167,20.081577
31,-22.387,0,19.930,-19.391560,20.459541
32,-68.527,0,18.343,-19.640467,25.124405
33,-52.575,0,21.452,-19.959515,58.991631
34,-26.788,0,18.656,-19.919361,30.799242
35,-24.509,0,7.806,-20.188965,58.102432
36,-25.263,0,10.270,-19.710081,67.137924
37,-62.377,0,47.519,-19.821505,128.660217
38,-25.708,0,25.547,-19.752089,28.389194
39,-25.086,0,8.603,-19.626570,29.417612
40,-23.889,0,26.271,-19.827675,28.785498
41,-66.891,0,10.254,-19.565603,37.188431
42,-58.861,0,18.009,-19.440229,37.185280
43,-27.555,0,15.018,-19.831158,39.284576
44,-29.760,0,16.166,-19.699635,31.617031
45,-28.668,0,15.337,-19.833693,47.515457
46,-54.306,0,27.831,-20.536613,31.714745
47,-75.922,0,9.126,-19.618059,40.683304
48,-25.458,0,14.266,-19.507156,31.534912
49,-62.746,0,20.073,-19.130613,30.695320
50,-30.676,0,24.765,-19.198851,36.208160
51,-27.499,0,10.399,-19.598093,31.990829
52,-30.189,0,13.769,-19.512892,30.366194
53,-18.497,0,15.371,-19.193256,62.332687
54,-21.186,0,11.742,-18.752523,34.631676
55,-69.512,0,6.712,-18.999144,60.189377
56,-50.000,0,44.097,-18.639687,30.041592
57,-22.452,0,14.113,-18.239838,31.438847
58,-20.826,0,10.784,-18.861910,27.363323
59,-65.644,0,26.611,-18.432528,30.946640
60,-27.417,0,15.463,-18.381641,69.482437
61,-31.400,0,12.610,-18.133301,26.329493
62,-50.373,0,11.587,-17.888853,25.165470
63,-53.118,0,12.675,-18.082741,23.754095
64,-28.261,0,10.855,-17.910635,24.988811
65,-66.329,0,17.667,-17.251871,33.593147
66,-24.495,0,13.217,-17.395424,24.108006
67,-24.153,0,16.009,-17.352186,19.043461
68,-61.368,0,31.800,-17.355366,31.569195
69,-59.774,0,11.838,-17.277042,56.202629
70,-26.774,0,16.295,-17.055136,60.397507
71,-28.703,0,4.505,-16.990305,27.999336
72,-35.122,0,24.471,-16.852413,59.153725
73,-21.852,0,19.508,-16.521374,17.102467
74,-28.255,0,12.497,-16.396149,25.058380
75,-24.780,0,17.570,-16.505295,17.854086
76,-23.310,0,5.406,-16.559486,15.362631
77,-30.380,0,3.713,-16.257126,15.062172
78,-25.151,0,23.764,-15.938197,18.362480
79,-23.742,0,9.976,-15.929682,27.473766
80,-28.093,0,17.972,-15.733784,21.645905
81,-30.415,0,12.639,-15.422747,14.384531
82,-31.052,0,12.613,-15.919936,14.094805
83,-22.264,0,6.078,-15.211926,41.648094
84,-31.690,0,13.167,-15.350454,12.862021
85,-35.070,0,26.430,-15.308890,18.484703
86,-21.328,0,22.465,-15.267099,11.998539
87,-25.777,0,9.692,-15.008349,13.032768
88,-16.002,0,3.630,-14.667706,14.507505
89,-28.037,0,20.407,-14.683656,40.928226
90,-26.580,0,15.638,-14.896787,45.639038
91,-24.070,0,3.092,-14.360032,12.206772
92,-20.293,0,10.479,-14.559499,13.465199
93,-19.785,0,13.131,-14.233605,13.766076
94,-57.782,0,15.712,-14.298136,10.607149
95,-29.889,0,16.073,-14.207680,40.235249
96,-24.808,0,7.694,-13.895165,13.909746
97,-26.075,0,12.026,-13.667190,12.986522
98,-19.395,0,14.208,-13.687496,8.709623
99,-28.175,0,20.905,-13.616963,8.241573
100,-20.054,0,19.890,-13.654279,8.615742
