Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-29.000,10,1,,
2,-17.000,10,1,,
3,-14.000,10,1,,
4,-22.000,10,1,,
5,-17.000,10,1,,
6,-18.000,10,1,1.130156,1.362071
7,-43.000,7,0,1.145903,0.551044
8,-42.000,8,0,1.347044,0.632773
9,-41.000,9,0,1.546181,0.649362
10,-41.000,9,0,1.489956,0.823962
11,-37.000,10,1,1.602379,0.751451
12,-25.000,10,1,1.654622,0.734421
13,-35.000,10,1,1.648124,0.600670
14,-30.000,10,1,1.851934,0.688599
15,-29.000,10,1,1.789742,0.830273
16,-41.000,9,0,1.919161,0.766681
17,-36.000,10,1,1.900371,0.801668
18,-38.000,10,1,1.848584,0.726839
19,-41.000,9,0,1.972633,1.011661
20,-42.000,8,0,1.973033,0.905519
21,-28.000,10,1,2.034881,0.818552
22,-43.000,7,0,2.269530,0.674303
23,-29.000,10,1,2.057416,0.898480
24,-32.000,10,1,2.297512,0.996569
25,-40.000,10,1,2.348053,0.810018
26,-33.000,10,1,2.297880,0.879369
27,-19.000,10,1,2.411875,0.991619
28,-16.000,10,1,2.404582,0.817350
29,-32.000,10,1,2.448699,0.677387
30,-30.000,10,1,2.302884,0.821252
31,-25.000,10,1,2.458395,0.837708
32,-22.000,10,1,2.540539,0.834851
33,-27.000,10,1,2.576954,0.918416
34,-31.000,10,1,2.558128,0.876586
35,-22.000,10,1,2.696744,1.099239
36,-23.000,10,1,2.536792,1.076445
37,-20.000,10,1,2.788581,1.372568
38,-33.000,10,1,2.676828,0.866790
39,-16.000,10,1,2.822015,0.976552
40,-21.000,10,1,2.752853,1.246910
41,-16.000,10,1,2.801971,1.310878
42,-25.000,10,1,2.928065,1.124810
43,-40.000,10,1,3.110877,1.625492
44,-34.000,10,1,2.732067,1.458083
45,-23.000,10,1,2.964559,0.994161
46,-25.000,10,1,2.876705,1.404990
47,-28.000,10,1,2.974916,1.514478
48,-30.000,10,1,3.047035,1.146274
49,-14.000,10,1,3.312200,1.367083
50,-25.000,10,1,3.210367,1.257784
51,-21.000,10,1,3.052001,1.193250
52,-18.000,10,1,3.166503,1.321348
53,-21.000,10,1,3.264949,1.447724
54,-19.000,10,1,3.062791,1.384269
55,-14.000,10,1,3.618563,1.589497
56,-18.000,10,1,3.396587,1.545287
57,-13.000,10,1,3.113766,1.458712
58,-27.000,10,1,3.402130,1.604821
59,-13.000,10,1,3.367286,1.830979
60,-18.000,10,1,3.384206,1.632650
61,-16.000,10,1,3.468681,1.930662
62,-13.000,10,1,3.266088,1.424938
63,-21.000,10,1,3.242911,1.530432
64,-21.000,10,1,3.264812,1.810880
65,-17.000,10,1,3.482710,1.691091
66,-16.000,10,1,3.748804,1.201823
67,-13.000,10,1,3.604537,1.446029
68,-20.000,10,1,3.416037,1.812534
69,-17.000,10,1,3.680854,1.797163
70,-24.000,10,1,3.660346,1.376161
71,-15.000,10,1,3.594588,1.799049
72,-12.000,10,1,3.631192,1.793997
73,-13.000,10,1,3.679687,1.402901
74,-11.000,10,1,3.541668,2.026341
75,-14.000,10,1,3.712426,2.011991
76,-18.000,10,1,3.725838,1.740896
77,-11.000,10,1,3.983806,2.305953
78,-22.000,10,1,3.649040,1.828522
79,-16.000,10,1,3.696856,1.576426
80,-18.000,10,1,4.038476,1.614447
81,-16.000,10,1,3.785116,1.571362
82,-14.000,10,1,3.861336,2.140781
83,-16.000,10,1,3.726613,2.012617
84,-15.000,10,1,3.758295,1.603839
85,-17.000,10,1,3.544069,2.433768
86,-18.000,10,1,3.743340,2.360047
87,-25.000,10,1,4.127303,1.816515
88,-21.000,10,1,3.890897,1.978370
89,-15.000,10,1,3.874698,1.855105
90,-14.000,10,1,3.954290,1.996563
91,-18.000,10,1,3.972487,1.829967
92,-25.000,10,1,3.898579,2.351847
93,-12.000,10,1,4.190312,2.029375
94,-21.000,10,1,3.931394,2.541849
95,-12.000,10,1,3.667841,2.005636
96,-14.000,10,1,3.825206,2.307493
97,-16.000,10,1,3.933776,2.687771
98,-44.000,6,0,4.317615,1.957698
99,-25.000,10,1,3.830147,2.648301
100,-14.000,10,1,3.969478,2.084959
