Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-113.000,12,0,,
2,-116.000,9,0,,
3,-116.000,9,0,,
4,-117.000,8,0,,
5,-118.000,7,0,,
6,-116.000,9,0,,
7,-118.000,7,0,,
8,-118.000,7,0,0.044673,1.231126
9,-118.000,7,0,-0.189527,0.265227
10,-118.000,7,0,-0.317283,0.229645
11,-120.000,5,0,-0.314126,0.146935
12,-117.000,8,0,-0.291787,0.153766
13,-116.000,9,0,-0.331169,0.113415
14,-119.000,6,0,-0.197875,0.161903
15,-120.000,5,0,-0.119054,0.142168
16,-85.000,13,1,-0.070179,0.125452
17,-120.000,5,0,0.024968,0.105424
18,-115.000,10,0,0.111583,0.119336
19,-119.000,6,0,0.114489,0.115591
20,-114.000,11,0,0.212031,0.161691
21,-117.000,8,0,0.277313,0.121198
22,-102.000,13,1,0.333557,0.136104
23,-114.000,11,0,0.487828,0.127918
24,-117.000,8,0,0.435957,0.130191
25,-115.000,10,0,0.561247,0.110253
26,-97.000,13,1,0.592563,0.122923
27,-117.000,8,0,0.649127,0.115931
28,-116.000,9,0,0.679503,0.160664
29,-99.000,13,1,0.824693,0.135318
30,-113.000,12,0,0.770513,0.097550
31,-117.000,8,0,0.900148,0.120994
32,-101.000,13,1,0.943871,0.173746
33,-85.000,13,1,0.953954,0.150946
34,-119.000,6,0,1.015195,0.128036
35,-114.000,11,0,1.146529,0.176847
36,-113.000,12,0,1.183403,0.219067
37,-116.000,9,0,1.259675,0.101608
38,-113.000,12,0,1.303366,0.164551
39,-115.000,10,0,1.377331,0.222402
40,-85.000,13,1,1.428644,0.167506
41,-117.000,8,0,1.445487,0.176230
42,-114.000,11,0,1.518549,0.160544
43,-113.000,12,0,1.539222,0.152516
44,-62.000,13,1,1.584570,0.190596
45,-113.000,12,0,1.696962,0.203497
46,-115.000,10,0,1.747935,0.181460
47,-114.000,11,0,1.847140,0.195663
48,-103.000,13,1,1.920896,0.176765
49,-116.000,9,0,1.953186,0.196416
50,-117.000,8,0,1.928217,0.212751
51,-102.000,13,1,2.007421,0.164090
52,-82.000,13,1,2.184247,0.227520
53,-118.000,7,0,2.208201,0.354877
54,-115.000,10,0,2.258998,0.239284
55,-116.000,9,0,2.297263,0.301127
56,-114.000,11,0,2.405138,0.173158
57,-113.000,12,0,2.512209,0.387562
58,-66.000,13,1,2.484090,0.157889
59,-81.000,13,1,2.527499,0.298545
60,-110.000,13,1,2.629211,0.247968
61,-117.000,8,0,2.731474,0.163812
62,-94.000,13,1,2.733341,0.206545
63,-104.000,13,1,2.919837,0.169906
64,-102.000,13,1,2.989190,0.193797
65,-113.000,12,0,2.938040,0.153764
66,-117.000,8,0,2.967229,0.169387
67,-115.000,10,0,3.034396,0.259376
68,-113.000,12,0,3.123969,0.276686
69,-118.000,7,0,3.141815,0.292677
70,-118.000,7,0,3.201106,0.252704
71,-119.000,6,0,3.237904,0.240701
72,-108.000,13,1,3.376497,0.189763
73,-111.000,13,1,3.421441,0.267770
74,-94.000,13,1,3.497150,0.376970
75,-115.000,10,0,3.527293,0.245325
76,-119.000,6,0,3.611892,0.211164
77,-64.000,13,1,3.624014,0.454314
78,-110.000,13,1,3.750555,0.384102
79,-119.000,6,0,3.708145,0.802472
80,-118.000,7,0,3.815273,0.314887
81,-93.000,13,1,3.853735,0.527692
82,-114.000,11,0,4.021730,0.380163
83,-68.000,13,1,4.122525,0.169239
84,-121.000,4,0,4.039027,0.509660
85,-110.000,13,1,4.028886,0.509044
86,-118.000,7,0,4.183753,0.259252
87,-114.000,11,0,4.268900,0.538082
88,-120.000,5,0,4.336893,0.333949
89,-120.000,5,0,4.362197,0.319954
90,-119.000,6,0,4.322671,0.194280
91,-121.000,4,0,4.391760,0.434084
92,-115.000,10,0,4.523923,0.479222
93,-118.000,7,0,4.543966,0.248150
94,-116.000,9,0,4.559325,0.326085
95,-112.000,13,1,4.606374,0.364021
96,-119.000,6,0,4.693135,0.556882
97,-122.000,3,0,4.800414,0.383447
98,-120.000,5,0,4.873467,0.359971
99,-116.000,9,0,4.942914,0.264404
100,-122.000,3,0,4.950465,0.658410
101,-122.000,3,0,4.941105,0.426656
102,-119.000,6,0,5.208959,0.373874
103,-119.000,6,0,5.201229,0.333476
104,-121.000,4,0,5.178607,0.319014
105,-120.000,5,0,5.186287,0.409683
106,-122.000,3,0,5.283769,0.725988
107,-120.000,5,0,5.399840,0.645060
108,-116.000,9,0,5.374532,0.555996
109,-123.000,2,0,5.510511,0.514316
110,-118.000,7,0,5.456522,0.537924
111,-117.000,8,0,5.725169,0.264217
112,-113.000,12,0,5.649818,0.394431
113,-120.000,5,0,5.677869,0.208557
114,-119.000,6,0,5.752821,0.278462
115,-122.000,3,0,5.710132,0.428027
116,-124.000,1,0,5.800871,0.698159
117,-123.000,2,0,5.853605,0.679369
118,-120.000,5,0,6.034400,0.224014
119,-118.000,7,0,6.076893,0.515114
120,-122.000,3,0,6.084735,0.264931
121,-122.000,3,0,6.058169,0.532782
122,-120.000,5,0,6.143231,0.834244
123,-120.000,5,0,6.163587,0.648080
124,-120.000,5,0,6.271475,0.175451
125,-121.000,4,0,6.379894,0.533685
126,-119.000,6,0,6.398859,0.739649
127,-116.000,9,0,6.489633,0.608151
128,-121.000,4,0,6.483891,1.048123
129,-121.000,4,0,6.615137,0.451681
130,-121.000,4,0,6.720006,0.440882
131,-119.000,6,0,6.664134,0.570025
132,-119.000,6,0,6.718911,1.176430
