Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-10.000,0,7.115,,
2,-10.000,0,2.467,,
3,-10.000,0,2.871,,
4,-10.000,0,5.416,,
5,-10.000,0,1.270,,
6,-10.000,0,3.522,,
7,-10.000,0,5.207,,
8,-10.000,0,4.431,,
9,-10.000,0,2.245,,
10,-10.000,0,4.456,,
11,-10.000,0,3.345,,
12,-10.000,0,3.743,,
13,-10.000,0,3.936,,
14,-10.000,0,5.480,,
15,-10.000,0,2.530,,
16,-10.000,0,1.155,,
17,-10.000,0,2.238,,
18,-10.000,0,2.818,,
19,-10.000,0,7.188,,
20,-10.000,0,2.352,-3.226308,22.953312
21,-10.000,0,4.276,-3.969996,17.366638
22,-10.000,0,1.732,-4.498122,12.350473
23,-10.000,0,1.540,-5.540862,10.389280
24,-10.000,0,2.261,-5.477723,8.076416
25,-10.000,0,4.694,-6.106719,5.781067
26,-10.000,0,3.507,-6.514926,4.468319
27,-10.000,0,1.336,-5.823242,6.946163
28,-10.000,0,5.204,-6.499029,6.560511
29,-10.000,0,2.377,-6.089085,5.057137
30,-10.000,0,2.004,-6.902570,5.181891
31,-10.000,0,3.846,-6.201732,6.190441
32,-10.000,0,2.203,-6.486562,5.454266
33,-10.000,0,3.095,-6.152992,5.387092
34,-10.000,0,3.322,-6.268576,6.625740
35,-10.000,0,2.737,-6.344632,4.752834
36,-10.000,0,5.111,-6.718729,5.247459
37,-10.000,0,4.775,-6.926533,5.579084
38,-10.000,0,3.147,-6.745123,6.279573
39,-10.000,0,2.408,-6.619834,5.397751
40,-10.000,0,4.051,-6.678932,4.824425
41,-10.000,0,1.252,-6.772202,4.648737
42,-10.000,0,5.779,-6.798997,4.598229
43,-10.000,0,1.937,-6.668215,6.091197
44,-8.000,1,0.833,-6.449097,5.786761
45,-10.000,0,3.306,-6.027548,5.137256
46,-10.000,0,2.160,-6.017939,4.372886
47,-10.000,0,2.109,-5.649159,5.236787
48,-3.000,1,0.694,-6.975543,4.293483
49,-10.000,0,3.248,-5.882792,6.276442
50,-10.000,0,1.302,-6.341731,5.256321
51,-10.000,0,4.565,-6.118742,6.806748
52,-10.000,0,2.927,-6.450088,8.948643
53,-10.000,0,2.683,-6.096702,5.628086
54,-10.000,0,3.939,-6.029857,6.283628
55,-10.000,0,1.713,-6.321176,6.554780
56,-10.000,0,4.355,-6.539202,6.710916
57,-10.000,0,2.513,-5.301948,6.399714
58,-10.000,0,1.079,-6.024988,5.559195
59,-10.000,0,3.915,-6.102865,6.467211
60,-10.000,0,3.112,-6.523149,5.405455
61,-2.000,1,0.518,-6.450267,5.110268
62,-10.000,0,2.476,-5.381885,5.753937
63,-10.000,0,4.852,-6.276613,5.413742
64,-10.000,0,1.825,-6.292113,5.674031
65,-10.000,0,1.116,-5.647270,5.607749
66,-10.000,0,1.070,-6.308515,6.530129
67,-10.000,0,2.152,-5.917499,6.952031
68,-10.000,0,4.083,-5.954207,8.073739
69,-10.000,0,3.479,-5.661452,7.286382
70,-10.000,0,2.225,-6.121243,6.963282
71,-10.000,0,3.539,-5.367393,6.871431
72,-8.000,1,0.986,-6.094687,5.464873
73,-7.000,1,0.667,-6.162940,5.803104
74,-10.000,0,1.030,-5.943583,5.278152
75,-8.000,1,0.829,-6.199627,6.100132
76,-10.000,0,1.703,-6.457598,5.266670
77,-10.000,0,2.498,-6.389917,4.895231
78,-10.000,0,1.111,-6.448891,5.307113
79,-10.000,0,3.182,-5.295762,7.326618
80,-1.000,1,0.513,-6.698827,6.797777
81,-6.000,1,0.242,-6.114452,5.924326
82,-10.000,0,1.695,-6.231862,5.313281
83,-3.000,1,0.948,-5.565080,6.915696
84,-10.000,0,1.906,-6.492969,4.926237
85,-9.000,1,0.956,-6.516810,5.013088
86,-10.000,0,1.169,-5.600797,5.202432
87,-10.000,0,1.760,-5.480162,7.563721
88,-9.000,1,0.266,-6.493684,5.033040
89,-10.000,0,3.304,-6.289672,5.799704
90,-4.000,1,0.922,-6.037563,6.572671
91,-10.000,0,1.023,-6.077280,5.145769
92,-10.000,0,2.219,-6.224996,5.623027
93,-5.000,1,0.799,-5.937183,6.182147
94,-10.000,0,1.650,-6.426803,5.283256
95,-10.000,0,1.431,-5.744627,4.497402
