Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-49.000,1,0,,
2,-48.000,2,0,,
3,-49.000,1,0,,
4,-48.000,2,0,,
5,-49.000,1,0,,
6,-50.000,0,0,,
7,-48.000,2,0,,
8,-50.000,0,0,,
9,-50.000,0,0,,
10,-50.000,0,0,,
11,-46.000,4,0,-3.420655,0.605392
12,-49.000,1,0,-3.705339,0.555225
13,-46.000,4,0,-3.810765,0.697182
14,-46.000,4,0,-4.021257,0.786124
15,-48.000,2,0,-3.935361,1.309272
16,-49.000,1,0,-4.093017,1.366205
17,-46.000,4,0,-4.352616,1.026795
18,-47.000,3,0,-4.274248,1.933697
19,-46.000,4,0,-4.564631,1.406566
20,-48.000,2,0,-4.403688,1.892682
21,-45.000,5,0,-4.630814,1.389096
22,-47.000,3,0,-4.697801,1.256026
23,-48.000,2,0,-4.654431,1.470228
24,-48.000,2,0,-4.542948,2.178542
25,-45.000,5,0,-4.571062,1.853920
26,-46.000,4,0,-4.717173,1.198455
27,-47.000,3,0,-4.458108,1.660060
28,-47.000,3,0,-4.514491,1.488380
29,-47.000,3,0,-4.544167,1.636896
30,-48.000,2,0,-4.707921,1.216724
31,-46.000,4,0,-4.498446,1.456767
32,-47.000,3,0,-4.479549,1.829081
33,-46.000,4,0,-4.366578,1.414113
34,-45.000,5,0,-4.376369,1.616588
35,-50.000,0,0,-4.352600,1.341145
36,-48.000,2,0,-4.120564,1.241499
37,-48.000,2,0,-3.934646,1.219819
38,-48.000,2,0,-4.093548,1.004036
39,-49.000,1,0,-4.021205,1.313760
40,-49.000,1,0,-3.729441,1.144666
41,-47.000,3,0,-3.561233,1.341398
42,-48.000,2,0,-3.699617,1.096450
43,-49.000,1,0,-3.457227,1.163034
44,-48.000,2,0,-3.526861,0.444020
45,-48.000,2,0,-3.166145,1.062649
46,-45.000,5,0,-3.288732,1.170967
47,-46.000,4,0,-3.105863,0.677942
48,-47.000,3,0,-3.145014,0.355406
49,-45.000,5,0,-2.928027,0.587007
50,-47.000,3,0,-2.880731,0.514456
51,-48.000,2,0,-2.738802,0.492503
52,-48.000,2,0,-2.644457,0.456385
53,-50.000,0,0,-2.481497,0.360983
54,-48.000,2,0,-2.413328,0.220997
55,-46.000,4,0,-2.125379,0.317035
56,-49.000,1,0,-2.062346,0.179890
57,-48.000,2,0,-1.971608,0.248478
58,-48.000,2,0,-1.834146,0.196001
59,-45.000,5,0,-1.687446,0.171621
60,-48.000,2,0,-1.519752,0.210524
61,-47.000,3,0,-1.484392,0.165285
62,-47.000,3,0,-1.292021,0.139634
63,-47.000,3,0,-1.236238,0.132890
64,-46.000,4,0,-1.057535,0.095656
65,-45.000,5,0,-0.947975,0.086567
66,-50.000,0,0,-0.863874,0.086058
67,-47.000,3,0,-0.706617,0.096795
68,-47.000,3,0,-0.565985,0.106060
69,-46.000,4,0,-0.441237,0.142670
70,-48.000,2,0,-0.350182,0.133732
71,-49.000,1,0,-0.216220,0.141298
72,-46.000,4,0,-0.091512,0.114842
73,-46.000,4,0,-0.014893,0.147488
74,-48.000,2,0,0.117636,0.201968
75,-49.000,1,0,0.277084,0.200248
76,-48.000,2,0,0.376857,0.185733
77,-47.000,3,0,0.481603,0.314611
78,-46.000,4,0,0.632883,0.328252
79,-49.000,1,0,0.711550,0.271043
80,-46.000,4,0,0.807015,0.413172
81,-48.000,2,0,0.903579,0.394401
82,-47.000,3,0,1.145906,0.636514
83,-48.000,2,0,1.192946,0.527794
84,-47.000,3,0,1.284712,0.608325
85,-46.000,4,0,1.437714,0.495295
86,-46.000,4,0,1.653227,0.509456
87,-47.000,3,0,1.685772,0.911839
88,-44.000,6,0,1.908987,0.489747
89,-46.000,4,0,2.017049,0.766090
90,-44.000,6,0,2.035347,0.715675
91,-47.000,3,0,2.058285,1.179293
92,-46.000,4,0,2.416113,1.049951
93,-45.000,5,0,2.523034,1.207265
94,-48.000,2,0,2.483289,1.595734
95,-47.000,3,0,2.538574,1.500169
96,-47.000,3,0,2.714359,1.316801
97,-46.000,4,0,2.939807,1.399231
98,-43.000,7,0,2.859109,1.741017
99,-47.000,3,0,2.749827,2.084286
100,-46.000,4,0,3.308850,1.482392
101,-44.000,6,0,3.194212,1.413146
102,-44.000,6,0,3.218810,1.828919
103,-46.000,4,0,3.317878,2.356384
104,-46.000,4,0,3.425795,2.072970
105,-43.000,7,0,3.289272,2.246690
106,-44.000,6,0,3.366314,2.713636
107,-44.000,6,0,3.620936,2.093091
108,-44.000,6,0,3.742957,1.885351
109,-47.000,3,0,4.028316,2.679889
110,-44.000,6,0,3.889440,2.375995
111,-44.000,6,0,4.347471,2.018814
112,-43.000,7,0,3.870848,3.197249
113,-46.000,4,0,4.193977,2.508379
114,-49.000,1,0,4.148130,2.436001
115,-45.000,5,0,4.254998,2.236125
116,-44.000,6,0,4.428678,2.387312
117,-43.000,7,0,4.393760,2.339459
118,-45.000,5,0,4.505321,3.484578
119,-43.000,7,0,4.267359,3.306542
120,-41.000,9,0,4.335883,2.983211
121,-44.000,6,0,4.158613,3.890985
122,-44.000,6,0,4.671939,2.257892
123,-38.000,10,1,4.679362,3.777002
124,-41.000,9,0,4.677858,3.294012
125,-44.000,6,0,5.042475,3.412088
126,-44.000,6,0,4.959326,3.973744
127,-40.000,10,1,4.634983,2.421040
128,-43.000,7,0,5.022084,3.146369
129,-42.000,8,0,4.790375,3.768709
130,-43.000,7,0,4.889524,2.409600
131,-43.000,7,0,5.156487,2.818251
132,-42.000,8,0,4.996101,2.976516
133,-42.000,8,0,4.885833,3.298359
134,-41.000,9,0,5.095144,2.867360
135,-44.000,6,0,5.254795,3.659983
136,-23.000,10,1,5.102394,2.502218
137,-42.000,8,0,5.011327,4.256736
138,-41.000,9,0,5.315723,4.064551
139,-43.000,7,0,4.917616,3.041701
140,-36.000,10,1,5.005443,3.672984
141,-43.000,7,0,4.930554,3.050580
142,-41.000,9,0,5.103832,3.977939
143,-41.000,9,0,5.389655,4.056677
144,-29.000,10,1,4.919588,2.849364
145,-40.000,10,1,5.020172,3.720478
146,-42.000,8,0,5.414710,3.563017
147,-41.000,9,0,5.470834,4.565772
148,-42.000,8,0,5.248240,3.837705
149,-36.000,10,1,5.409499,4.510205
150,-36.000,10,1,4.794632,2.995819
151,-41.000,9,0,5.545063,3.300062
152,-43.000,7,0,5.496364,3.397542
153,-33.000,10,1,5.105050,4.329978
154,-41.000,9,0,5.337670,3.946197
155,-44.000,6,0,5.485502,3.653156
156,-41.000,9,0,5.083465,2.965668
157,-28.000,10,1,5.850627,2.667818
158,-38.000,10,1,5.656147,3.697514
159,-30.000,10,1,5.412607,3.075734
160,-26.000,10,1,5.323925,4.213574
161,-41.000,9,0,5.484046,4.353555
162,-15.000,10,1,5.344349,4.312338
