Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-8.733,0,7.040,,
2,-9.796,0,8.041,,
3,11.991,1,0.709,,
4,-11.920,0,6.806,,
5,-9.193,0,7.036,,
6,11.851,1,0.322,,
7,-9.988,0,8.432,,
8,-5.914,0,3.187,,
9,12.488,1,0.933,,
10,-9.630,0,4.753,,
11,-3.903,0,1.866,-2.265007,119.417084
12,-3.646,0,3.129,-3.099598,103.225739
13,-8.719,0,5.377,-3.447952,95.963898
14,-4.577,0,1.906,-3.173119,27.677029
15,-6.949,0,7.319,-3.768692,84.213959
16,-4.532,0,3.277,-3.791126,23.592468
17,-4.545,0,2.924,-4.225359,20.797333
18,-7.234,0,8.211,-3.963798,15.320089
19,-6.719,0,5.309,-5.194940,15.445759
20,-4.785,0,3.959,-5.542552,128.601624
21,-5.621,0,3.850,-4.818400,14.179693
22,-3.823,0,3.041,-6.002962,70.979645
23,-3.603,0,3.038,-5.834945,70.084702
24,-3.160,0,1.413,-5.648245,187.199097
25,12.010,1,0.568,-6.045003,9.626019
26,11.485,1,0.632,-6.206069,9.177902
27,-3.549,0,2.481,-6.200267,7.121474
28,-6.414,0,4.739,-6.345899,66.995201
29,-5.023,0,2.733,-6.632792,121.038666
30,-5.933,0,4.143,-5.824122,6.252334
31,-9.272,0,7.631,-6.559789,65.295601
32,-5.835,0,3.344,-6.718364,126.929489
33,11.807,1,0.596,-7.324787,118.841827
34,-10.658,0,8.372,-6.178350,124.872269
35,-9.214,0,6.572,-6.371778,9.298982
36,-3.217,0,2.500,-6.170087,69.493423
37,-5.461,0,3.207,-6.093159,6.787783
38,-3.129,0,1.335,-6.043915,74.727203
39,-2.818,0,1.995,-6.726374,6.583300
40,-10.294,0,6.475,-6.825675,6.830324
41,10.473,1,0.952,-7.755871,63.018005
42,11.949,1,0.621,-5.979551,64.701599
43,11.497,1,0.518,-7.148537,66.289383
44,-4.098,0,1.808,-7.057098,75.825333
45,-5.497,0,2.067,-6.872148,71.469681
46,-7.717,0,4.833,-6.916400,77.952866
47,-3.428,0,2.064,-7.059206,185.484253
48,-8.062,0,4.699,-6.486439,65.412086
49,11.304,1,0.588,-7.323247,136.219116
50,-11.334,0,8.667,-6.387614,174.421204
51,12.819,1,0.783,-6.242603,69.327744
52,-4.142,0,2.166,-6.085601,61.238552
53,-4.596,0,2.042,-6.074097,69.868546
54,-8.675,0,6.059,-7.402336,360.076599
55,-9.455,0,4.985,-7.088159,8.999298
56,-4.253,0,1.957,-6.837863,8.431261
57,13.095,1,0.942,-6.128330,67.255363
58,-4.489,0,1.886,-6.302814,65.973633
59,-5.080,0,3.696,-5.884363,7.395012
60,-7.750,0,4.905,-7.052933,64.543777
61,-3.777,0,1.675,-6.214940,64.850723
62,-3.592,0,1.964,-7.340744,173.389557
63,-3.501,0,1.978,-7.180567,61.229664
64,-8.080,0,5.258,-6.704806,6.746172
65,-4.550,0,2.281,-7.038430,64.463333
66,-10.015,0,7.106,-6.752545,357.733704
67,-7.724,0,6.571,-6.046075,9.124355
68,-3.346,0,1.027,-6.730937,6.863538
69,11.519,1,0.881,-6.523635,64.062775
70,-14.134,0,7.632,-5.953403,8.330919
71,-2.868,0,1.625,-6.165793,68.287720
72,-10.144,0,6.113,-6.532885,67.975365
73,-9.696,0,6.472,-6.467453,127.487831
74,-6.572,0,2.720,-8.072491,62.344025
75,12.105,1,0.458,-7.048312,61.815880
76,-3.453,0,2.651,-7.324681,8.950381
77,-4.956,0,2.940,-6.558004,58.857735
78,-4.535,0,3.886,-6.812853,7.642539
79,11.304,1,0.972,-6.639980,61.661682
80,-8.291,0,2.561,-6.264198,123.014633
81,-2.841,0,1.026,-7.003385,123.625275
82,-4.159,0,3.583,-6.441187,70.153275
83,11.534,1,0.491,-6.519981,123.607941
84,-5.670,0,2.722,-5.959840,5.839089
85,-3.328,0,1.243,-6.039729,67.275726
86,-6.776,0,4.350,-6.686447,8.079200
87,11.739,1,0.685,-6.764449,119.566757
88,-7.426,0,4.807,-7.276018,64.622444
89,12.023,1,0.652,-6.942311,7.213662
90,-10.601,0,4.627,-6.593462,132.943817
91,-3.611,0,1.120,-6.665027,124.862503
92,11.604,1,0.615,-7.405445,72.144974
93,-12.393,0,6.997,-7.138608,7.037211
94,-13.572,0,5.445,-7.180133,116.004662
95,-5.393,0,4.361,-6.521588,8.423443
96,-11.468,0,4.842,-6.962308,121.066292
97,-8.679,0,6.729,-6.570405,114.745781
98,-9.932,0,5.034,-6.465467,7.876884
99,-3.574,0,1.574,-6.348858,6.642841
100,-3.451,0,2.575,-6.041236,6.906581
101,12.496,1,0.697,-6.717439,6.037557
102,-9.598,0,4.642,-6.348136,117.785065
103,-2.899,0,1.494,-5.718946,8.045491
104,-9.417,0,8.482,-6.241780,62.202381
105,11.802,1,0.921,-6.213465,61.691486
106,11.626,1,0.962,-6.927892,241.312622
107,-6.752,0,5.578,-6.926443,189.343964
108,-8.271,0,5.142,-6.645866,232.053497
109,-5.736,0,1.954,-6.040162,64.833298
110,-5.524,0,2.463,-7.135408,7.930441
111,-3.924,0,2.522,-6.783095,125.772751
112,-9.639,0,5.151,-6.495797,185.767227
113,-4.437,0,3.349,-6.864218,6.467852
114,-10.280,0,6.750,-7.076620,116.063644
115,-6.853,0,2.963,-6.958374,6.970963
116,-10.684,0,8.190,-7.734670,230.798492
117,-6.904,0,3.989,-6.584968,61.035622
118,-9.913,0,4.031,-7.206533,173.464813
119,8.513,1,0.961,-6.414825,63.057793
120,-4.572,0,2.298,-6.000727,126.150757
121,-4.291,0,2.745,-5.977140,68.947998
122,-3.764,0,1.019,-6.183463,58.086037
123,-10.305,0,4.935,-6.309847,8.637419
124,10.871,1,0.844,-6.552583,65.753540
125,-5.595,0,2.651,-6.628500,8.328356
126,11.943,1,0.943,-6.038415,121.910385
127,-10.850,0,10.872,-7.068581,126.649399
128,11.259,1,0.731,-6.178773,69.514740
129,-4.751,0,3.726,-6.438281,117.704025
130,-8.006,0,4.301,-7.196615,119.282913
131,-2.873,0,1.279,-6.681330,76.086494
132,12.879,1,0.263,-6.987903,61.075188
133,11.485,1,0.767,-6.975456,247.330963
134,10.000,1,0.938,-7.402411,122.726898
135,-3.506,0,1.436,-5.723970,65.890305
136,-11.201,0,7.741,-6.401543,64.534134
137,-4.216,0,2.933,-6.706490,187.249603
138,11.459,1,0.819,-6.883592,121.643967
139,11.126,1,0.437,-7.310010,166.534698
140,12.009,1,0.463,-6.196727,125.195450
141,-12.753,0,8.310,-6.743833,8.029901
