Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-4.672,0,6.086,,
2,-3.274,0,3.900,,
3,-0.461,0,2.457,,
4,-4.824,0,5.464,,
5,-4.886,0,4.724,,
6,-2.024,0,1.854,,
7,-1.927,0,1.911,,
8,-2.735,0,5.888,,
9,-6.591,0,1.870,,
10,-3.051,0,1.315,,
11,-0.139,0,2.209,-3.661939,46.368343
12,-1.939,0,3.426,-4.037687,32.752472
13,-3.305,0,5.173,-4.068104,27.751940
14,-2.048,0,2.661,-4.645199,20.446587
15,-0.745,0,2.101,-4.547291,19.257378
16,-3.300,0,3.469,-4.642614,18.688076
17,-1.717,0,1.668,-5.361089,16.908457
18,-5.102,0,3.998,-5.239048,74.146545
19,-3.991,0,4.674,-5.767407,13.236663
20,-2.342,0,6.127,-5.699982,61.190781
21,-2.282,0,2.753,-5.379016,8.208319
22,-2.347,0,3.928,-5.847022,9.061493
23,-3.651,0,4.307,-5.932266,66.032799
24,-1.884,0,2.427,-6.186728,65.140648
25,-2.848,0,2.644,-5.636835,8.755672
26,-4.698,0,6.168,-6.573454,6.709317
27,-3.789,0,5.817,-6.554843,11.541317
28,-5.442,0,5.893,-6.048449,64.409088
29,-1.468,0,3.466,-6.334331,4.702497
30,-2.028,0,1.515,-6.976649,72.458679
31,-7.493,0,8.504,-6.309463,6.732404
32,-1.880,0,2.817,-6.283448,6.308017
33,-3.562,0,2.683,-6.494215,67.181702
34,-3.657,0,3.895,-6.606346,4.971873
35,12.726,1,0.645,-6.695708,6.686910
36,-6.627,0,7.411,-6.883895,59.813663
37,-7.310,0,12.813,-6.744428,66.289833
38,-5.301,0,5.325,-6.079040,6.155534
39,-7.146,0,9.233,-6.571070,5.417872
40,-4.336,0,5.708,-6.635342,4.527080
41,-3.359,0,5.731,-6.560851,112.679657
42,-1.804,0,5.984,-6.067258,4.967780
43,-1.915,0,2.939,-6.174924,66.617371
44,-7.386,0,6.094,-6.667996,8.471734
45,-5.791,0,5.270,-6.943363,4.419575
46,-3.958,0,6.285,-6.960772,6.110045
47,-2.500,0,1.731,-6.815856,7.123211
48,-2.105,0,4.916,-6.605138,52.957626
49,-7.665,0,8.372,-6.874960,6.824657
50,-2.447,0,5.016,-7.162007,6.216900
51,-2.914,0,5.445,-6.522950,6.020640
52,-4.801,0,4.026,-6.258522,117.795319
53,-3.735,0,1.995,-6.740041,6.341426
54,-2.985,0,3.672,-6.813967,8.201447
55,-1.357,0,3.410,-6.640497,6.616928
56,-1.717,0,3.827,-7.103356,6.567987
57,-3.826,0,4.503,-6.165952,4.829868
58,-1.800,0,4.342,-6.244997,71.272911
59,-2.367,0,4.918,-5.899752,70.182205
60,-1.513,0,1.175,-6.447064,5.823577
61,-5.056,0,5.039,-6.455564,5.185454
62,-1.997,0,2.623,-6.588318,60.932163
63,-3.259,0,1.995,-6.895160,116.895386
64,-1.702,0,2.875,-6.336813,63.814339
65,-2.695,0,5.379,-6.324902,5.932604
66,-3.078,0,1.197,-7.092501,58.673859
67,-1.882,0,2.558,-6.638446,5.065907
68,-1.325,0,2.803,-6.519270,6.054974
69,-4.035,0,3.085,-6.750550,7.526946
70,-1.260,0,2.831,-6.676577,55.862373
71,-3.267,0,4.186,-6.643808,5.020352
72,-4.146,0,8.086,-6.553571,57.173927
73,-4.977,0,4.895,-5.553081,4.952381
74,-1.302,0,1.054,-6.012510,6.671037
75,-3.448,0,4.313,-6.816330,6.407000
76,-0.552,0,1.855,-6.676459,65.705078
77,-3.270,0,3.850,-6.932892,6.186545
78,-3.830,0,5.231,-6.556164,6.157710
79,-2.968,0,4.366,-6.186097,5.732292
80,-2.039,0,3.007,-6.800307,117.380249
81,-1.729,0,2.694,-6.577154,5.815327
82,-4.308,0,4.790,-7.077673,109.110260
83,-1.447,0,3.466,-7.230752,4.858478
84,-3.509,0,4.269,-6.593133,6.237591
85,-1.566,0,3.722,-6.481257,6.459109
86,-1.647,0,3.223,-6.345549,4.794319
87,-5.385,0,7.065,-6.736538,4.687293
88,-3.459,0,5.471,-6.253423,61.114300
89,-3.474,0,6.271,-6.283087,7.216000
90,-2.826,0,4.274,-6.569447,61.360477
91,-3.302,0,4.788,-6.642474,3.709949
92,-2.271,0,1.898,-7.163096,5.987172
93,-1.741,0,2.004,-6.859016,6.207836
94,-3.075,0,3.907,-6.777574,60.337540
95,-3.122,0,5.453,-6.864736,4.069760
96,-2.714,0,3.900,-6.689097,5.514702
97,-3.419,0,6.117,-6.563968,5.696196
98,-3.944,0,4.121,-6.545991,7.402304
99,-3.387,0,4.876,-6.456682,4.516926
100,-0.601,0,1.587,-6.314070,3.178362
101,-2.665,0,3.285,-7.031487,54.903873
102,-2.457,0,2.982,-6.742534,7.491674
103,-2.446,0,3.070,-6.481664,56.009453
104,-1.934,0,3.596,-6.556137,7.778931
105,-2.942,0,3.727,-6.874185,118.979630
106,-1.774,0,2.928,-6.298242,4.790407
107,-0.166,0,1.344,-6.530388,5.699951
108,-3.178,0,6.065,-7.053375,7.726139
109,-3.586,0,4.922,-6.834988,58.063576
110,-3.502,0,2.513,-6.316131,6.314273
111,-5.645,0,6.023,-6.764030,5.646604
112,-2.401,0,2.723,-6.550365,6.284021
113,-1.329,0,3.067,-6.419156,61.115791
114,-1.429,0,1.620,-6.216881,62.900116
115,-2.320,0,4.039,-6.733368,5.528092
116,-1.656,0,4.123,-6.440296,7.193420
117,-2.703,0,3.273,-6.772816,57.433155
118,-2.323,0,6.221,-6.586490,5.593179
119,-1.994,0,2.702,-6.068216,72.903168
120,-2.043,0,4.620,-6.438750,6.471325
121,-1.690,0,2.305,-6.993445,5.322747
122,-3.753,0,4.994,-6.974984,7.240754
123,-5.452,0,4.331,-6.558727,6.668726
124,-2.779,0,2.791,-6.311936,59.821777
125,-5.138,0,5.595,-7.035104,71.626541
126,-2.471,0,3.812,-6.743351,58.389381
127,-1.902,0,3.152,-6.466140,6.647630
128,-7.720,0,9.152,-6.415420,56.243870
129,-1.313,0,1.546,-6.992818,6.796559
130,-2.979,0,4.395,-6.836061,8.202730
131,-6.320,0,4.899,-5.942389,5.161972
132,-5.978,0,4.237,-6.380754,6.030080
133,-1.674,0,2.333,-6.672464,7.158128
134,-7.295,0,8.401,-6.750551,5.119191
135,-2.595,0,1.610,-6.689783,6.064184
136,-2.753,0,5.100,-6.501978,57.963802
137,-0.621,0,2.768,-7.243884,6.277406
138,-0.966,0,1.229,-6.656253,5.114907
139,-5.587,0,6.737,-6.795309,56.874664
140,-4.372,0,7.165,-6.573944,6.158672
141,-1.435,0,3.354,-6.883771,4.605119
142,-0.917,0,1.042,-7.270031,5.198361
143,-3.397,0,4.268,-7.066651,114.369736
144,-1.628,0,3.953,-6.223671,4.761761
145,-3.235,0,3.303,-6.987733,5.918429
146,-2.799,0,5.865,-6.757349,4.601602
147,-4.802,0,4.944,-6.713325,4.653215
148,-2.245,0,2.430,-6.399884,6.632918
149,-4.605,0,8.698,-6.961521,5.260158
150,-0.849,0,3.405,-6.581724,61.037998
151,-6.360,0,5.796,-6.220907,69.979103
152,-1.383,0,1.962,-6.645727,169.007721
153,-5.531,0,3.222,-6.092602,61.510086
154,-0.736,0,2.652,-6.639667,5.708617
155,-2.322,0,3.230,-6.626246,7.617083
156,-2.423,0,5.059,-6.206628,6.930691
157,-3.131,0,5.473,-6.555005,62.470135
158,-0.626,0,3.031,-6.721560,7.278754
159,-6.623,0,9.880,-6.438547,4.584496
160,-3.742,0,6.499,-6.539330,6.349964
161,-6.742,0,7.492,-6.330863,4.681266
162,-1.002,0,1.209,-6.827943,6.325524
163,-1.018,0,1.614,-6.641400,56.006718
164,-2.905,0,3.552,-6.083475,6.569424
165,-2.401,0,1.864,-7.120078,63.621002
166,-2.211,0,4.551,-6.613549,5.953610
167,-3.275,0,4.573,-6.211632,59.051247
168,-1.683,0,3.569,-6.766573,5.539863
169,-3.628,0,4.709,-6.959610,60.501846
170,-6.057,0,9.469,-7.056432,59.011330
171,-5.785,0,6.688,-6.560843,4.996684
172,-0.988,0,1.608,-6.555644,6.359250
173,-2.338,0,3.655,-7.256531,6.357324
174,9.620,1,0.371,-6.818135,118.565079
175,-2.738,0,4.528,-6.652077,123.209023
176,-2.942,0,4.877,-6.854331,113.658272
177,-1.941,0,3.026,-6.904442,65.796028
178,-4.575,0,3.315,-6.783506,6.354539
179,-4.568,0,4.792,-7.021802,66.236320
180,-4.141,0,4.060,-6.997119,6.344191
181,-0.957,0,2.358,-6.777543,5.567459
182,-4.231,0,3.984,-6.766439,5.822452
183,-5.070,0,7.471,-6.974751,61.902351
184,-2.187,0,3.215,-6.325630,4.785349
185,-4.266,0,5.083,-5.915305,58.898800
186,-2.534,0,2.199,-6.527345,5.952781
187,-5.519,0,4.483,-6.565377,59.311104
188,-2.281,0,2.904,-7.090053,5.403856
189,-0.744,0,2.325,-6.640732,5.997157
190,-6.487,0,3.755,-6.140556,4.317712
191,-2.917,0,6.325,-6.900001,9.017823
192,-0.312,0,2.099,-7.222698,64.028618
193,-3.485,0,4.360,-6.706430,6.929720
194,-1.020,0,2.920,-6.318582,109.262863
195,-0.776,0,4.228,-6.215152,5.430045
196,-1.271,0,4.031,-6.591991,60.998451
197,-2.697,0,2.667,-7.140227,4.911939
198,-7.324,0,8.588,-6.696234,63.356312
199,-2.731,0,4.215,-6.598153,5.050381
200,-4.852,0,8.705,-6.355863,68.242516
