Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-10.000,0,7.914,,
2,-10.000,0,6.828,,
3,-10.000,0,6.219,,
4,-10.000,0,5.301,,
5,-10.000,0,2.005,,
6,-10.000,0,4.252,,
7,-10.000,0,2.323,,
8,-10.000,0,9.445,,
9,-10.000,0,0.944,,
10,-10.000,0,6.624,,
11,-10.000,0,8.254,,
12,-10.000,0,6.845,,
13,-10.000,0,3.391,,
14,-10.000,0,3.761,,
15,-10.000,0,4.111,,
16,-10.000,0,3.188,,
17,-10.000,0,3.451,,
18,-10.000,0,3.650,,
19,-10.000,0,2.042,,
20,-10.000,0,8.842,-4.107262,20.487041
21,-10.000,0,3.534,-4.457613,19.611248
22,-10.000,0,0.921,-4.754566,15.144242
23,-10.000,0,3.277,-5.725790,13.277954
24,-10.000,0,2.160,-5.659517,10.986080
25,-10.000,0,3.130,-6.691891,6.070470
26,-10.000,0,1.508,-7.098023,6.081607
27,-10.000,0,3.079,-7.368541,7.039000
28,-10.000,0,1.051,-7.151360,5.494826
29,-10.000,0,3.059,-7.556373,5.246871
30,-10.000,0,2.837,-7.961926,4.498779
31,-10.000,0,1.370,-8.309056,5.536800
32,-10.000,0,1.570,-8.078346,3.967298
33,-10.000,0,2.567,-8.275961,4.044806
34,-10.000,0,3.313,-8.663303,5.722871
35,-10.000,0,3.420,-8.993496,3.515244
36,-10.000,0,3.575,-9.174049,3.865369
37,-10.000,0,2.357,-9.160306,3.213033
38,-10.000,0,3.858,-9.409837,4.379274
39,-10.000,0,1.781,-9.537795,3.795634
40,-10.000,0,3.494,-9.526869,3.794444
41,-10.000,0,1.938,-9.713517,3.714526
42,-10.000,0,2.380,-9.833959,2.668672
43,-10.000,0,2.456,-10.093288,2.341615
44,-10.000,0,1.303,-10.044341,3.193460
45,-10.000,0,3.895,-10.188684,4.597032
46,-10.000,0,2.173,-10.292825,2.035873
47,-10.000,0,4.143,-10.255127,4.809743
48,-10.000,0,2.497,-10.526237,1.737780
49,-10.000,0,2.752,-10.423409,1.937279
50,-10.000,0,1.291,-10.542886,6.216484
51,-10.000,0,2.486,-10.699532,1.818627
52,-10.000,0,3.246,-10.694639,3.804051
53,-10.000,0,1.197,-10.793226,4.233803
54,-10.000,0,4.490,-10.843354,4.496130
55,-10.000,0,2.724,-10.705744,3.011621
56,-10.000,0,4.568,-10.755404,3.288318
57,-10.000,0,1.900,-11.246516,5.891994
58,-10.000,0,2.135,-10.840303,4.610291
59,-10.000,0,2.152,-11.065449,4.711973
60,-10.000,0,3.687,-11.185522,3.591919
61,-10.000,0,2.486,-10.928217,3.090818
62,-10.000,0,1.557,-11.305664,4.051389
63,-10.000,0,3.980,-11.005823,6.488475
64,-10.000,0,2.795,-11.250462,1.346523
65,-10.000,0,4.095,-11.308319,4.314041
66,-10.000,0,3.029,-10.937076,5.070683
67,-10.000,0,5.352,-10.873266,4.259575
68,-10.000,0,1.597,-10.983799,4.789335
69,-10.000,0,2.745,-11.121659,3.839241
70,-10.000,0,3.313,-11.127342,5.258236
71,-10.000,0,3.851,-11.047751,4.152920
72,-10.000,0,2.994,-11.066893,3.094861
73,-10.000,0,2.134,-11.404010,2.408716
74,-10.000,0,4.522,-11.029900,4.262821
75,-10.000,0,2.351,-10.909084,3.111060
76,-10.000,0,3.652,-11.214721,2.918027
77,-10.000,0,1.495,-11.616611,4.980261
78,-10.000,0,3.475,-11.045635,5.534769
79,-10.000,0,3.042,-11.230009,5.137451
80,-10.000,0,3.431,-11.581287,5.263238
81,-10.000,0,3.300,-11.645458,2.945168
82,-10.000,0,1.254,-11.426794,4.535566
83,-10.000,0,5.227,-11.142272,6.143740
84,-10.000,0,1.739,-11.451611,5.790355
85,-10.000,0,4.000,-11.413851,4.450282
86,-10.000,0,4.378,-11.263288,2.611267
87,-10.000,0,2.886,-11.049636,4.421780
88,-10.000,0,3.069,-11.388300,4.179407
89,-10.000,0,3.614,-11.263642,2.890471
90,-10.000,0,2.058,-11.104328,4.884428
91,-10.000,0,4.338,-11.494157,1.804117
92,-10.000,0,2.443,-11.437667,3.414944
93,-10.000,0,2.139,-11.217111,3.081940
94,-10.000,0,2.632,-11.151634,4.578282
95,-10.000,0,2.526,-11.541166,2.821218
96,-10.000,0,1.311,-11.408643,2.769227
97,-10.000,0,2.528,-11.111463,4.381142
98,-10.000,0,3.378,-11.174862,4.523380
99,-10.000,0,2.840,-11.155577,4.393417
100,-10.000,0,1.656,-11.044088,4.515962
101,-10.000,0,3.246,-11.380867,3.303372
102,-10.000,0,3.247,-11.256165,3.798570
103,-10.000,0,1.435,-11.142179,4.748051
104,-10.000,0,1.103,-11.004897,5.076919
105,-10.000,0,2.382,-11.384777,2.083938
106,-10.000,0,3.883,-10.912176,4.963530
107,-10.000,0,3.554,-10.958767,5.378778
108,-10.000,0,3.616,-10.910868,3.303471
109,-10.000,0,2.499,-10.877793,3.822912
110,-10.000,0,2.380,-11.429003,3.173742
111,-10.000,0,2.713,-11.273371,3.978280
112,-10.000,0,3.117,-11.113582,4.516860
113,-10.000,0,4.597,-11.261091,3.117626
114,-10.000,0,4.066,-10.803601,2.778082
115,-10.000,0,4.159,-11.070379,3.021372
116,-10.000,0,1.857,-11.034737,3.721860
117,-10.000,0,3.745,-11.136209,5.692894
118,-10.000,0,3.895,-11.020904,3.870125
119,-10.000,0,2.526,-11.143339,4.510345
120,-10.000,0,1.522,-11.002385,1.300189
121,-10.000,0,1.601,-10.718645,1.755978
122,-10.000,0,2.264,-11.095465,3.734611
123,-10.000,0,1.701,-11.313632,2.294263
124,-10.000,0,3.806,-11.116247,5.300818
125,-10.000,0,1.949,-10.976933,4.190973
126,-10.000,0,2.673,-11.151356,2.823915
127,-1.000,1,0.451,-10.594216,5.140882
128,-10.000,0,2.657,-11.055538,2.764868
129,-10.000,0,3.037,-10.845480,4.401377
130,-10.000,0,1.617,-11.040465,4.126614
131,-10.000,0,3.047,-10.888906,3.613240
132,-10.000,0,2.990,-10.800728,2.235578
133,-10.000,0,5.838,-11.041425,3.852863
134,-10.000,0,1.026,-11.144661,4.907265
135,-10.000,0,3.133,-10.979038,3.736979
136,-10.000,0,2.180,-10.700271,2.966122
137,-10.000,0,3.427,-11.044452,3.335382
138,-10.000,0,2.969,-11.233944,2.825101
139,-10.000,0,4.136,-11.087868,5.141371
140,-10.000,0,4.488,-10.901886,2.744038
141,-10.000,0,1.433,-11.065416,5.026815
142,-10.000,0,2.211,-10.729833,5.419908
143,-10.000,0,3.203,-11.250360,2.246498
144,-10.000,0,3.733,-10.712034,6.092150
145,-10.000,0,3.030,-10.673445,4.636497
146,-10.000,0,0.813,-11.143369,1.909844
147,-10.000,0,2.279,-10.749538,4.919494
148,-10.000,0,3.236,-10.839086,6.083059
149,-10.000,0,6.892,-10.592154,6.931118
150,-10.000,0,2.206,-10.856087,3.520586
151,-10.000,0,1.952,-11.125753,0.953878
152,-10.000,0,2.869,-10.705790,5.093012
153,-10.000,0,5.582,-10.704652,3.766551
154,-10.000,0,1.868,-10.709565,3.369390
155,-10.000,0,4.422,-11.185248,4.530717
156,-10.000,0,1.559,-10.876301,5.055726
157,-10.000,0,0.801,-10.925892,2.228805
158,-10.000,0,3.151,-10.593904,3.531645
159,-10.000,0,2.189,-10.714424,4.540971
160,-10.000,0,0.961,-10.550946,2.784936
161,-10.000,0,2.366,-10.863680,3.996884
162,-10.000,0,2.299,-10.678677,2.882628
163,-10.000,0,2.322,-11.050336,2.042125
164,-9.000,1,0.572,-10.814015,5.391846
165,-10.000,0,3.803,-10.626373,2.841555
166,-10.000,0,1.085,-10.695061,3.266932
167,-10.000,0,2.861,-10.778911,4.486485
168,-10.000,0,1.482,-10.648270,5.182366
169,-10.000,0,1.317,-10.770591,3.954994
170,-10.000,0,1.555,-10.512965,3.100570
171,-10.000,0,1.574,-10.800282,3.463643
172,-10.000,0,3.711,-11.133926,1.583316
173,-10.000,0,4.521,-10.424502,4.040857
174,-10.000,0,3.156,-10.707174,3.408773
175,-10.000,0,1.999,-10.674126,4.761981
176,-10.000,0,5.354,-10.636016,3.083920
177,-10.000,0,1.422,-10.471487,6.601347
178,-10.000,0,1.660,-10.571444,5.365769
179,-10.000,0,3.098,-10.712143,2.356326
180,-10.000,0,3.124,-10.722321,3.870135
181,-10.000,0,1.183,-10.503608,3.375723
182,-10.000,0,4.744,-10.597933,3.429672
183,-10.000,0,0.892,-10.872845,2.260197
184,-10.000,0,4.753,-10.614162,6.165095
185,-10.000,0,1.779,-10.521770,7.180430
186,-10.000,0,3.835,-10.709011,6.628095
187,-10.000,0,4.248,-10.717167,2.848164
188,-10.000,0,2.802,-10.688494,3.462960
189,-10.000,0,2.088,-10.881784,4.019094
190,-10.000,0,1.022,-10.486292,4.830108
191,-10.000,0,0.845,-10.316460,4.279093
192,-10.000,0,3.648,-10.702002,2.686479
193,-10.000,0,1.837,-10.389264,4.565568
194,-10.000,0,5.546,-10.578250,2.363917
195,-10.000,0,1.888,-10.357360,3.910845
196,-10.000,0,1.866,-10.658831,1.799300
197,-10.000,0,2.810,-10.851652,3.437773
198,-10.000,0,4.930,-10.415937,3.810358
199,-10.000,0,1.667,-10.237698,4.383571
200,-10.000,0,1.722,-10.643387,3.381346
201,-10.000,0,3.519,-10.630428,2.356880
202,-10.000,0,2.781,-10.273490,3.808709
203,-10.000,0,3.389,-10.413631,5.580134
204,-10.000,0,4.248,-10.616607,4.072369
205,-10.000,0,3.876,-10.429469,3.361519
206,-10.000,0,1.543,-10.853899,4.473786
207,-10.000,0,3.683,-10.606243,5.027628
208,-10.000,0,1.393,-10.552028,5.235676
209,-10.000,0,1.928,-10.335821,3.286556
210,-2.000,1,0.675,-10.346509,3.549121
211,-10.000,0,2.108,-10.460336,4.182248
212,-10.000,0,1.774,-10.813819,3.911716
213,-10.000,0,3.296,-10.504759,3.621239
214,-10.000,0,2.470,-10.519082,4.820566
215,-10.000,0,2.700,-10.838595,2.144276
216,-10.000,0,2.677,-10.514523,3.374075
217,-10.000,0,2.195,-10.516659,2.791623
218,-10.000,0,2.270,-10.370928,3.801847
219,-10.000,0,3.019,-10.504732,4.211086
220,-10.000,0,2.825,-10.488599,3.813719
221,-10.000,0,6.437,-10.547918,3.198024
222,-10.000,0,1.630,-10.213335,4.207458
223,-10.000,0,5.110,-10.424820,4.198234
224,-10.000,0,2.550,-10.141542,2.614555
225,-10.000,0,3.301,-10.718825,3.861143
226,-10.000,0,3.337,-10.302394,3.887047
227,-10.000,0,3.920,-10.564238,3.571369
228,-10.000,0,2.807,-10.424224,2.210643
229,-10.000,0,3.720,-10.460604,4.268023
230,-10.000,0,4.296,-10.402267,4.647647
231,-10.000,0,2.589,-10.529440,3.687563
232,-10.000,0,1.092,-10.265877,3.388224
233,-10.000,0,1.858,-10.080316,3.397197
234,-10.000,0,3.125,-10.113144,2.890127
235,-10.000,0,1.806,-10.683892,3.271860
236,-10.000,0,3.142,-10.462581,3.472918
237,-10.000,0,3.198,-10.634082,2.988238
238,-10.000,0,7.544,-10.615602,3.427656
239,-10.000,0,3.406,-10.490553,9.676495
240,-10.000,0,4.191,-10.558872,2.654809
241,-10.000,0,3.461,-10.257399,3.447122
242,-10.000,0,3.276,-10.544664,2.563894
