Episode,Reward,Success,MinDistance_cm,Actor_Loss,Critic_Loss
1,-54.925,0,11.008,,
2,-57.945,0,28.655,,
3,-28.355,0,7.787,,
4,-66.134,0,26.069,,
5,-32.220,0,25.731,,
6,-24.174,0,15.164,,
7,-23.619,0,14.549,,
8,-29.554,0,11.673,,
9,-58.871,0,18.625,,
10,-30.715,0,21.652,,
11,-63.984,0,23.862,-9.943793,33.367844
12,-24.652,0,16.611,-13.185670,39.372662
13,-19.788,0,8.531,-13.377455,10.486149
14,-78.486,0,10.160,-13.991190,6.947391
15,-51.194,0,21.341,-14.473900,7.309418
16,-63.203,0,20.730,-14.998273,34.729179
17,-26.349,0,16.682,-15.498695,36.879059
18,-53.319,0,18.692,-15.889144,4.150280
19,-16.314,0,8.011,-16.370831,4.176193
20,-61.275,0,17.681,-16.642235,12.785694
21,-50.000,0,25.359,-17.085979,13.118240
22,-50.000,0,20.516,-17.574728,10.126099
23,-32.225,0,10.340,-17.990078,44.228073
24,-27.847,0,23.193,-18.037216,12.725548
25,-31.085,0,7.188,-18.433178,10.785263
26,-29.894,0,29.240,-18.751671,16.322605
27,-77.196,0,10.148,-18.860086,23.519688
28,-20.409,0,9.183,-19.259453,21.232561
29,-60.473,0,8.380,-19.371460,23.365339
30,-28.241,0,20.356,-19.398146,50.965202
31,-23.297,0,12.026,-19.614601,36.674927
32,-73.758,0,13.978,-19.899921,19.808590
33,-66.843,0,14.380,-19.623762,29.070057
34,-28.072,0,9.291,-19.920584,24.362423
35,-20.809,0,12.596,-19.887592,28.812042
36,-55.037,0,31.279,-19.879028,35.715637
37,-65.652,0,8.337,-19.833635,31.082294
38,-33.353,0,24.948,-19.977932,34.621552
39,-24.320,0,7.838,-19.767609,29.336378
40,-53.973,0,9.691,-19.746502,65.779068
41,-71.454,0,12.096,-19.800629,30.991791
42,-60.841,0,17.732,-20.144241,38.916481
43,-30.880,0,9.895,-19.807777,36.134331
44,-25.529,0,18.039,-19.836748,39.292599
45,-22.851,0,14.295,-19.858442,32.682213
46,-69.125,0,23.071,-20.061050,35.045975
47,-71.466,0,9.506,-19.506363,98.212364
48,-25.770,0,26.056,-19.549572,35.785736
49,-19.226,0,14.857,-19.827513,34.601540
50,-38.498,0,21.217,-19.979198,35.572800
51,-16.088,0,3.096,-19.784119,32.726494
52,-27.183,0,22.020,-19.452496,31.402647
53,-27.370,0,18.544,-18.952505,69.338333
54,-20.057,0,13.609,-18.928486,65.930817
55,-51.558,0,17.451,-19.164986,30.091135
56,-29.433,0,19.397,-18.818663,66.637970
57,-21.695,0,13.089,-18.758875,35.944199
58,-20.386,0,5.817,-18.605497,27.704506
59,-26.381,0,16.471,-18.654696,35.611908
60,-28.733,0,12.887,-18.565506,57.449936
61,-72.445,0,18.714,-18.396658,38.943817
62,-59.685,0,20.645,-18.242195,29.942827
63,-62.171,0,32.178,-17.932344,32.054153
64,-23.504,0,17.073,-17.823563,24.384918
65,-68.362,0,18.340,-18.287830,27.646259
66,-20.080,0,8.474,-17.926495,22.136795
67,-21.260,0,8.353,-17.785542,27.727734
68,-56.497,0,15.502,-17.363888,24.566429
69,-58.027,0,19.151,-17.438152,21.644350
70,-22.623,0,14.264,-17.333364,22.040558
71,-22.844,0,12.026,-16.821497,49.678291
72,-32.553,0,20.475,-16.897469,55.285770
73,-23.403,0,12.571,-16.546169,16.855385
74,-31.774,0,19.099,-16.697975,21.388235
75,-24.305,0,11.474,-16.653656,16.170515
76,-16.011,0,14.765,-16.748232,51.920601
77,-24.119,0,9.918,-16.021492,27.798746
78,-19.464,0,11.443,-16.384850,18.421661
79,-24.129,0,13.287,-16.419651,27.040901
80,-21.567,0,8.921,-15.996447,18.129999
81,-25.476,0,4.586,-16.024130,16.733994
82,-24.830,0,4.833,-15.869291,23.226322
83,-22.214,0,9.036,-15.982277,13.539127
84,-34.502,0,8.374,-15.484130,18.049484
85,-24.116,0,16.094,-15.641817,14.902834
86,-29.969,0,17.227,-15.527550,12.643557
87,-29.616,0,12.669,-15.072269,16.030792
88,-20.134,0,10.054,-15.188478,14.546144
89,-18.099,0,14.800,-14.851552,14.599410
90,-23.795,0,9.808,-15.133385,12.526567
91,-27.628,0,18.605,-14.746532,13.928391
92,-22.436,0,20.079,-14.737040,9.604291
93,-19.391,0,12.332,-14.688468,50.315094
94,-61.086,0,11.141,-14.562839,12.808426
95,-21.173,0,6.911,-14.592587,7.269678
96,-19.353,0,15.588,-14.324942,9.535261
97,-33.552,0,12.382,-14.128654,9.360984
98,-26.423,0,21.944,-14.060637,5.416008
99,-23.239,0,16.210,-13.825490,8.959531
100,-62.327,0,15.542,-13.931097,7.474205
101,-21.542,0,14.648,-13.607410,6.969588
102,-57.334,0,5.626,-13.600580,11.289070
103,-27.840,0,13.079,-13.577486,8.793274
104,-21.428,0,15.015,-13.499870,9.619131
105,-66.234,0,14.886,-13.461967,12.788908
106,-29.470,0,18.592,-13.384403,6.368999
107,-24.756,0,14.890,-13.230263,6.885666
108,-17.175,0,12.237,-12.990718,10.999015
109,-32.932,0,22.216,-13.056705,12.809410
110,-21.064,0,7.674,-13.027991,6.087531
111,-20.239,0,13.525,-12.755870,34.609032
112,-21.943,0,12.377,-12.684310,10.069955
113,-23.405,0,27.812,-12.870764,7.636963
114,-30.107,0,35.849,-12.530269,8.035661
115,-24.315,0,21.637,-12.441378,12.660470
116,-17.079,0,16.943,-12.443427,28.846180
117,-18.180,0,6.787,-12.434651,6.859519
118,-32.541,0,27.623,-12.245322,6.595830
119,-28.954,0,23.411,-12.135756,6.315937
120,-27.894,0,17.220,-12.171205,9.204113
121,-18.072,0,12.953,-12.046734,1.556994
122,-17.314,0,13.301,-12.071977,6.670923
123,-27.277,0,20.913,-11.922941,5.316517
124,-22.566,0,5.308,-11.802343,10.358137
125,-15.566,0,16.379,-11.701354,3.883363
126,-20.695,0,10.310,-11.587009,30.199375
127,-24.411,0,24.513,-11.552895,33.817585
128,-25.337,0,24.704,-11.513508,10.275747
129,-22.498,0,6.664,-11.148298,8.711564
130,-24.488,0,21.344,-11.326766,9.206608
131,-24.754,0,16.944,-11.300841,6.023132
132,-21.457,0,5.938,-11.214895,4.188923
133,-18.489,0,13.470,-11.146361,29.621235
134,-23.346,0,15.234,-10.888432,53.039124
135,-23.300,0,22.926,-11.073802,3.658974
136,-18.619,0,9.437,-11.035896,5.458765
137,-19.292,0,9.271,-10.832125,6.814030
138,-17.120,0,6.868,-10.816168,26.342871
139,-17.307,0,13.872,-10.490403,3.736926
140,-30.115,0,12.939,-10.583803,6.189208
141,-24.106,0,16.608,-10.576569,5.995511
142,-19.306,0,18.954,-10.423597,6.213068
143,-20.360,0,11.941,-10.580567,2.728943
144,-28.086,0,7.730,-10.247993,3.064507
145,-22.736,0,11.989,-10.308617,7.725812
146,-19.972,0,11.128,-10.383937,6.880510
147,-22.142,0,22.117,-10.245204,3.755481
148,-27.059,0,30.166,-9.995315,6.842278
149,-25.244,0,15.276,-10.213699,4.137903
150,-20.073,0,21.458,-10.076121,6.962437
151,-20.315,0,21.790,-9.891644,7.227633
152,-22.721,0,8.742,-9.851998,2.002058
153,-18.643,0,15.658,-9.866600,4.250569
154,-29.474,0,22.882,-9.610205,30.502388
155,-23.080,0,8.687,-9.725982,4.716747
156,-16.724,0,7.852,-9.723528,3.368897
157,-19.159,0,8.868,-9.568359,5.588572
158,-17.617,0,19.099,-9.587629,4.165009
159,-23.840,0,11.333,-9.709678,8.098389
160,-17.817,0,7.725,-9.652369,6.954322
161,-22.317,0,8.549,-9.410069,5.001044
162,-23.891,0,13.461,-9.449165,5.609388
163,-22.123,0,22.119,-9.290346,4.992947
164,-22.478,0,8.986,-9.215042,6.362924
165,-27.438,0,22.126,-9.234549,6.025682
166,-24.224,0,10.655,-9.189939,2.332209
167,-23.506,0,14.927,-9.090366,5.182368
168,-23.787,0,23.552,-9.015047,7.060930
169,-15.503,0,9.785,-8.898742,8.824303
170,-25.533,0,17.595,-9.033120,29.395693
171,-21.761,0,11.978,-9.030416,27.060585
172,-20.383,0,5.452,-8.924990,5.704279
173,-23.770,0,8.278,-8.860921,6.242526
174,-17.001,0,5.727,-8.949701,6.417400
175,-16.887,0,8.634,-8.885862,4.079352
176,-16.822,0,14.063,-8.734039,25.466324
177,-17.533,0,5.668,-8.716190,4.850488
178,-22.838,0,3.939,-8.825367,5.666821
179,-15.643,0,15.069,-8.571217,5.185683
180,-11.828,0,3.095,-8.543583,6.009891
181,-22.868,0,14.117,-8.603185,8.968525
182,-16.726,0,5.002,-8.536940,6.996953
183,-14.748,0,7.198,-8.510550,4.023312
184,-15.529,0,12.817,-8.496254,5.797177
185,-20.571,0,14.098,-8.555215,5.969037
186,-19.405,0,10.668,-8.364338,56.327744
187,-20.415,0,13.659,-8.371052,7.557577
188,-17.763,0,10.806,-8.223846,5.610750
189,-16.405,0,6.427,-8.438194,7.024586
190,-10.606,0,3.802,-8.188635,5.303864
191,-22.013,0,12.293,-8.326603,5.709123
192,-17.674,0,12.820,-8.036257,8.186607
193,-14.485,0,13.960,-8.301459,7.702184
194,-26.976,0,9.787,-7.928205,7.251545
195,-20.876,0,4.716,-8.225542,8.636837
196,-11.548,0,6.498,-7.984235,7.484809
197,-22.279,0,13.866,-8.349377,8.764849
198,-58.055,0,12.076,-8.009682,52.057899
199,-21.373,0,12.743,-8.079421,5.786160
200,-15.721,0,8.774,-8.113193,6.050472
